DR Number,Date Reported,Date Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Weapon Used Code,Weapon Description,Status Code,Status Description,Crime Code 1,Crime Code 2,Crime Code 3,Crime Code 4,Address,Cross Street,Location 
192004187,1/3/2019,11/11/2017,1030,20,Olympic,2035,626,INTIMATE PARTNER - SIMPLE ASSAULT,0448 0416 1814 2000,31,F,H,707,GARAGE/CARPORT,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,3400    WILSHIRE                     BL,,"(34.0618, -118.2979)"
191704333,1/4/2019,8/16/2014,1200,17,Devonshire,1764,860,BATTERY WITH SEXUAL CONTACT,551,45,M,H,210,RESTAURANT/FAST FOOD,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,860,,,,9100    CORBIN                       AV,,"(34.2355, -118.5623)"
191004156,1/4/2019,2/1/2016,900,10,West Valley,1065,354,THEFT OF IDENTITY,1822,27,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,5200    ZELZAH                       AV,,"(34.1654, -118.522)"
191504196,1/4/2019,10/1/2016,1,15,N Hollywood,1563,354,THEFT OF IDENTITY,0923 0930 1822,50,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,649,,,11400    VALLEY SPRING                LN,,"(34.1512, -118.3864)"
190404159,1/4/2019,12/17/2017,1,4,Hollenbeck,404,354,THEFT OF IDENTITY,100,43,M,H,504,OTHER RESIDENCE,,,IC,Invest Cont,354,,,,400    WHEELING                     WY,,"(34.1035, -118.1879)"
191104220,1/4/2019,12/9/2017,1,11,Northeast,1141,354,THEFT OF IDENTITY,100,48,M,A,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,4700    AMBROSE                      AV,,"(34.11, -118.2918)"
191204265,1/4/2019,4/22/2017,2300,12,77th Street,1251,626,INTIMATE PARTNER - SIMPLE ASSAULT,416,25,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,WEST                         BL,FLORENCE,"(33.9745, -118.3352)"
191504155,1/4/2019,3/15/2017,1200,15,N Hollywood,1544,354,THEFT OF IDENTITY,0930 1822,38,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,4900    WHITSETT                     AV,,"(34.1594, -118.4052)"
190904193,1/5/2019,9/4/2014,1500,9,Van Nuys,952,354,THEFT OF IDENTITY,0100 1822,26,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,5400 N  SEPULVEDA                    BL,,"(34.1685, -118.4662)"
191704445,1/5/2019,11/1/2016,1200,17,Devonshire,1767,354,THEFT OF IDENTITY,1824,53,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,18400    PRAIRIE                      ST,,"(34.2442, -118.5362)"
191704262,1/5/2019,5/20/2017,1400,17,Devonshire,1766,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1300 0344,46,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,341,,,,9600    VANALDEN                     AV,,"(34.2447, -118.5492)"
190304306,1/6/2019,3/18/2016,1700,3,Southwest,305,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",0603 0361 0408,57,M,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,230,,,,4800 W  ADAMS                        BL,,"(34.0336, -118.3441)"
190504254,1/6/2019,11/1/2017,1,5,Harbor,561,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1501 1202,62,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,341,,,,1300 S  TROTWOOD                     AV,,"(33.7321, -118.3146)"
191904343,1/7/2019,9/1/2013,1200,19,Mission,1982,354,THEFT OF IDENTITY,1822 0928,21,F,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,15300    RAYEN                        ST,,"(34.2319, -118.4655)"
190704251,1/7/2019,1/7/2014,130,7,Wilshire,722,421,THEFT FROM MOTOR VEHICLE - ATTEMPT,0329 1402,50,M,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,421,740,998,,8400    BLACKBURN                    AV,,"(34.0721, -118.3733)"
190704255,1/7/2019,6/1/2014,1,7,Wilshire,785,860,BATTERY WITH SEXUAL CONTACT,0522 0503 0360,11,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860,,,,2000    WEST VIEW                    ST,,"(34.0372, -118.3423)"
190704257,1/7/2019,6/1/2014,1,7,Wilshire,785,860,BATTERY WITH SEXUAL CONTACT,0522 0503 0360,16,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860,,,,2000    WEST VIEW                    ST,,"(34.0372, -118.3423)"
190304409,1/7/2019,1/1/2015,1200,3,Southwest,311,354,THEFT OF IDENTITY,0100 1202 1822,57,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,5500    HOMESIDE                     AV,,"(34.0279, -118.3644)"
191204410,1/7/2019,11/29/2016,1200,12,77th Street,1232,822,HUMAN TRAFFICKING - COMMERCIAL SEX ACTS,0943 0527 1259,15,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,822,,,,CRENSHAW,60TH                         ST,"(33.9854, -118.3308)"
191304345,1/7/2019,9/1/2016,1,13,Newton,1343,354,THEFT OF IDENTITY,0800 0928 1822,36,M,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,3500    MCKINLEY                     AV,,"(34.0118, -118.2606)"
191904291,1/7/2019,9/1/2016,1200,19,Mission,1991,354,THEFT OF IDENTITY,0377 0928 1822,67,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,8100    ORION                        AV,,"(34.2172, -118.472)"
192004330,1/7/2019,12/1/2016,1,20,Olympic,2027,354,THEFT OF IDENTITY,100,64,M,A,248,CELL PHONE STORE,,,IC,Invest Cont,354,,,,3400 W  6TH                          ST,,"(34.0636, -118.2954)"
190504295,1/7/2019,10/10/2017,1340,5,Harbor,555,354,THEFT OF IDENTITY,1822 0935 0930,32,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,600 W  OFARRELL                     ST,,"(33.746, -118.2901)"
191004253,1/7/2019,2/1/2017,1200,10,West Valley,1021,354,THEFT OF IDENTITY,0377 0928 1822 0100,45,M,O,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,19600    SHERMAN                      WY,,"(34.201, -118.5601)"
191004276,1/7/2019,10/20/2017,1730,10,West Valley,1029,210,ROBBERY,0344 1000 1019 0342 1300 1310 1822,38,M,H,101,STREET,102,HAND GUN,IC,Invest Cont,210,,,,16000    VANOWEN                      ST,,"(34.1976, -118.4799)"
191304342,1/7/2019,5/28/2017,1,13,Newton,1333,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0446 0416 1814,21,F,F,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,626,,,,600 E  30TH                         ST,,"(34.0193, -118.2653)"
191705235,1/7/2019,11/1/2017,1,17,Devonshire,1781,121,"RAPE, FORCIBLE",1814 1243 2000 0527,36,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121,,,,20900    GRESHAM                      ST,,"(34.2306, -118.5885)"
191604267,1/8/2019,4/2/2013,1930,16,Foothill,1667,354,THEFT OF IDENTITY,1822 0929,38,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,9700    SOMBRA                       TR,,"(34.2512, -118.3422)"
190904376,1/8/2019,7/3/2014,1500,9,Van Nuys,974,354,THEFT OF IDENTITY,0100 0929,38,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,4500    CEDROS                       AV,,"(34.1536, -118.453)"
190204417,1/8/2019,1/10/2015,1,2,Rampart,205,354,THEFT OF IDENTITY,0928 1822 0100,34,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,2600    BELLEVUE                     AV,,"(34.0804, -118.275)"
190304519,1/8/2019,2/11/2015,1200,3,Southwest,379,354,THEFT OF IDENTITY,,32,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,3800 S  VERMONT                      AV,,"(34.0145, -118.2937)"
191004992,1/8/2019,9/1/2015,1600,10,West Valley,1015,121,"RAPE, FORCIBLE",0552 0510 0509 1258,10,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,121,,,,7200    ETIWANDA                     AV,,"(34.2012, -118.5317)"
191704369,1/8/2019,8/22/2016,900,17,Devonshire,1715,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",,37,M,B,702,OFFICE BUILDING/OFFICE,,,IC,Invest Cont,341,,,,12300    LONGACRE                     AV,,"(34.2929, -118.5339)"
190304475,1/8/2019,1/1/2017,1,3,Southwest,307,354,THEFT OF IDENTITY,0100 1822,18,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,2300 S  VICTORIA                     AV,,"(34.0346, -118.3353)"
190404348,1/8/2019,2/1/2017,800,4,Hollenbeck,417,354,THEFT OF IDENTITY,100,20,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,4100    SUPERIOR                     CT,,"(34.0769, -118.1954)"
190804325,1/8/2019,12/31/2017,2000,8,West LA,885,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1906,54,F,W,501,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,AO,Adult Other,956,,,,10300    NORTHVALE                    RD,,"(34.0331, -118.411)"
191504494,1/8/2019,9/19/2017,1200,15,N Hollywood,1521,815,SEXUAL PENETRATION W/FOREIGN OBJECT,1813 0400 0416 2021 0500 1402 0515 2000,50,F,O,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,815,998,,,7100    FULTON                       AV,,"(34.1994, -118.4225)"
191704438,1/8/2019,12/1/2017,1200,17,Devonshire,1785,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0552 0512 0537 0545 1259 0522 0503 0532,15,M,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,760,812,,,8900    DARBY                        AV,,"(34.2319, -118.5339)"
191904364,1/8/2019,10/18/2017,1200,19,Mission,1902,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,0416 0552 1258,13,M,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,627,,,,14300    FOOTHILL                     BL,,"(34.3192, -118.4455)"
191904385,1/8/2019,10/24/2017,1000,19,Mission,1925,354,THEFT OF IDENTITY,1822,98,F,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,12500    RALSTON                      AV,,"(34.2975, -118.4528)"
190308922,1/9/2019,1/1/2010,1400,3,Southwest,334,860,BATTERY WITH SEXUAL CONTACT,522,6,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860,,,,CRENSHAW,ADAMS,"(34.0326, -118.3351)"
190304559,1/9/2019,1/1/2013,5,3,Southwest,374,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1202 0344 1818 1803,90,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,341,,,,3800    3RD                          AV,,"(34.0183, -118.3204)"
190604332,1/9/2019,1/1/2013,800,6,Hollywood,663,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1258 1251 0558 0522,2,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,,,,900 N  ORANGE                       DR,,"(34.0871, -118.3416)"
190204551,1/9/2019,8/1/2015,1200,2,Rampart,261,821,SODOMY/SEXUAL CONTACT B/W PENIS OF ONE PERS TO ANUS OTH,0556 0913 0519 1801 0545,6,M,O,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,821,,,2200 W  8TH                          ST,,"(34.0554, -118.2789)"
190304503,1/9/2019,4/1/2016,1700,3,Southwest,357,860,BATTERY WITH SEXUAL CONTACT,0360 2024 1259 1251 0522 0551,13,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860,,,,3400 S  CATALINA                     ST,,"(34.0255, -118.2937)"
190604331,1/9/2019,1/1/2016,800,6,Hollywood,663,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1258 1251 0556 0522,5,F,H,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,,,,900 N  ORANGE                       DR,,"(34.0871, -118.3416)"
191104470,1/9/2019,1/1/2016,1,11,Northeast,1142,354,THEFT OF IDENTITY,1822 0928,35,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,4400    FRANKLIN                     AV,,"(34.1054, -118.2852)"
190404375,1/9/2019,6/1/2017,1200,4,Hollenbeck,437,354,THEFT OF IDENTITY,100,64,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,2100    CYRIL                        AV,,"(34.0672, -118.1827)"
191104422,1/9/2019,1/1/2017,1200,11,Northeast,1119,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0360 0500 1259,12,F,H,501,SINGLE FAMILY DWELLING,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,812,956,,,1100    COLORADO                     BL,,"(34.1374, -118.1897)"
191404574,1/9/2019,1/5/2017,1200,14,Pacific,1407,480,BIKE - STOLEN,344,29,F,W,123,PARKING UNDERGROUND/BUILDING,,,IC,Invest Cont,480,,,,3600 S  VINTON                       AV,,"(34.0255, -118.4063)"
192004475,1/9/2019,10/5/2017,1200,20,Olympic,2014,815,SEXUAL PENETRATION W/FOREIGN OBJECT,0522 0551 2034,42,F,H,719,MEDICAL/DENTAL OFFICES,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,815,,,,4200    BEVERLY                      BL,,"(34.0763, -118.3004)"
190305072,1/10/2019,1/1/2016,1,3,Southwest,325,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0522 1258 1251 0913,9,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,812,860,,,2600 S  BUDLONG                      AV,,"(34.0328, -118.2959)"
190604632,1/10/2019,11/20/2016,1,6,Hollywood,635,354,THEFT OF IDENTITY,377,24,F,B,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,1900    WILCOX                       AV,,"(34.1079, -118.3337)"
191204661,1/10/2019,8/8/2016,1300,12,77th Street,1231,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,6300    HARCOURT                     AV,,"(33.9827, -118.3407)"
190504485,1/10/2019,1/1/2017,1,5,Harbor,518,354,THEFT OF IDENTITY,1822 0928,35,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,24800    BAYPOINT                     AV,,"(33.8011, -118.2601)"
191705390,1/11/2019,1/1/2014,1800,17,Devonshire,1737,820,ORAL COPULATION,0552 1257 0507,3,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,820,,,,16300    CELTIC                       ST,,"(34.2688, -118.4871)"
191705391,1/11/2019,1/1/2014,1800,17,Devonshire,1737,820,ORAL COPULATION,0552 1257 0507,3,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,820,,,,16300    CELTIC                       ST,,"(34.2688, -118.4871)"
191904518,1/11/2019,4/1/2014,1200,19,Mission,1925,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),1817 0906 0537 0550 1258,6,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",JA,Juv Arrest,760,812,,,14700    ASTORIA                      ST,,"(34.2996, -118.4522)"
190604480,1/11/2019,11/1/2015,800,6,Hollywood,622,440,THEFT PLAIN - PETTY ($950 & UNDER),344,63,M,B,221,PUBLIC STORAGE,,,IC,Invest Cont,440,,,,7700    WOODROW WILSON               DR,,"(34.1217, -118.364)"
191404704,1/11/2019,2/1/2015,1200,14,Pacific,1488,354,THEFT OF IDENTITY,0928 1822 0377,49,M,B,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,8600    BELFORD                      AV,,"(33.9599, -118.3839)"
190704500,1/11/2019,11/18/2017,2000,7,Wilshire,719,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0446 1814 0400,42,M,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,626,,,,400 N  ROSSMORE                     AV,,"(34.0776, -118.3273)"
190704502,1/11/2019,5/12/2017,5,7,Wilshire,702,354,THEFT OF IDENTITY,1822 0928,41,F,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,800 N  GENESEE                      AV,,"(34.0854, -118.3584)"
191304567,1/11/2019,1/1/2017,1300,13,Newton,1331,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0913 0503 1267,11,M,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,812,,,,100 E  29TH                         ST,,"(34.0225, -118.2702)"
191404717,1/11/2019,5/1/2017,800,14,Pacific,1403,668,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",0601 0701 1803,0,X,X,719,MEDICAL/DENTAL OFFICES,,,IC,Invest Cont,668,,,,2900 S  SEPULVEDA                    BL,,"(34.0283, -118.4292)"
192104413,1/11/2019,10/1/2017,1200,21,Topanga,2159,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1202 1702 0360,79,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,341,,,,19800    GILMORE                      ST,,"(34.1875, -118.5647)"
190704497,1/12/2019,8/5/2014,2100,7,Wilshire,734,860,BATTERY WITH SEXUAL CONTACT,0400 0522 1000,24,F,B,507,CONDOMINIUM/TOWNHOUSE,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",IC,Invest Cont,860,,,,6200 W  3RD                          ST,,"(34.0708, -118.3563)"
191404737,1/12/2019,9/9/2016,1200,14,Pacific,1456,354,THEFT OF IDENTITY,377,52,M,H,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,12200    LOUISE                       AV,,"(33.9955, -118.4232)"
191504584,1/12/2019,1/1/2017,1200,15,N Hollywood,1526,310,BURGLARY,344,50,M,W,221,PUBLIC STORAGE,,,IC,Invest Cont,310,,,,6200    LANKERSHIM                   BL,,"(34.1831, -118.3856)"
192104475,1/12/2019,9/1/2017,1630,21,Topanga,2101,236,INTIMATE PARTNER - AGGRAVATED ASSAULT,2000 1241 0448 0400,48,F,B,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,236,,,,22400 S  SUMMIT RIDGE                 CI,,"(34.24, -118.6174)"
190304824,1/13/2019,5/23/2013,2000,3,Southwest,335,820,ORAL COPULATION,0549 1309 1251 1259 0558 0515 0522 0507,9,F,H,501,SINGLE FAMILY DWELLING,515,PHYSICAL PRESENCE,IC,Invest Cont,812,820,,,2900    4TH                          AV,,"(34.0287, -118.3212)"
191404846,1/13/2019,3/1/2016,1200,14,Pacific,1402,354,THEFT OF IDENTITY,0377 1822,26,F,H,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,354,,,,2600 S  BARRINGTON                   AV,,"(34.0271, -118.4421)"
192004683,1/14/2019,9/1/2010,1900,20,Olympic,2091,813,CHILD ANNOYING (17YRS & UNDER),1258 1901,12,F,H,501,SINGLE FAMILY DWELLING,511,VERBAL THREAT,IC,Invest Cont,813,,,,2300 W  21ST                         ST,,"(34.0381, -118.3148)"
