APN,Registered Date,Property Type,Property Address,Property City,Property State,Property Zip,Council District,Lender,Lender Contact,Lender Contact Phone,Property Management,Property Management Contact,Property Management Address,Property Management Contact Phone,Property on Map,Zip Codes,Census Tracts,Precinct Boundaries,LA Specific Plans,Council Districts,Neighborhood Councils (Certified)
2701061007,11/29/2018,Single Family,20321 W VIA SANSOVINO,LOS ANGELES,CA,91326,12,Mr. Cooper,Paula Acosta,800-468-1743,Remedy Field Services,Brandon Cole,15615   Alton PKWY 450 Irvine CA 92618,800-468-1743,"20321 W VIA SANSOVINO
LOS ANGELES, CA 91326
(34.296655, -118.576238)",18905,66,1531,,2,48
5210026015,01/10/2018,Multi-Family,1916 N HANCOCK ST,LOS ANGELES,CA,90031,1,CALIBER HOME LOANS,CHRISTINE CAYANAN,874-214-4174,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"1916 N HANCOCK ST
LOS ANGELES, CA 90031
(34.066688, -118.20893)",23448,494,619,,11,1
5090012016,01/01/2018,Single Family,929 S MUIRFIELD RD,LOS ANGELES,CA,90019,4,Wilmington Trust NA C/O Select Portfolio Servicing,NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   Whilshire BLVD 1109 Los Angeles CA 90010,213-804-7437,"929 S MUIRFIELD RD
LOS ANGELES, CA 90019
(34.058004, -118.330674)",23080,613,1344,,7,86
4360031033,07/10/2018,Single Family,10601 W WILSHIRE BLVD 1-72,,CA,,5,Bayview Loan Servicing,Miles Preservation LLC,951-808-3346,Miles Preservation LLC,Miles Preservation,27226   Via Industria   Temecula CA 92590,951-808-3346,"10601 W WILSHIRE BLVD 1-72, CA
(35.551083, -97.709025)",27929,,,,,
6018004019,01/01/2018,Single Family,7217 S DENKER AVE,LOS ANGELES,CA,90047,8,"U.S. Bank, N.A., C/O Select Portfolio Servicing",NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"7217 S DENKER AVE
LOS ANGELES, CA 90047
(33.973995, -118.304625)",23678,778,1075,7,14,20
2307024029,11/29/2018,Single Family,12383 W COVELLO ST,LOS ANGELES,CA,91605,2,BANK OF AMERICA,VPR DEPARTMENT,213-345-6264,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,818-406-3611,"12383 W COVELLO ST
LOS ANGELES, CA 91605
(34.208036, -118.402962)",8888,178,1273,,5,14
2216007013,12/17/2018,Single Family,7014 N COLBATH AVE,LOS ANGELES,CA,91405,2,Mr. Cooper,Paula Acosta,800-468-1743,B2,Brian Bennis,3430   Mt Vernon AVE  Riverside CA 92507,224-518-7504,"7014 N COLBATH AVE
LOS ANGELES, CA 91405
(34.198098, -118.436712)",19733,234,506,,5,18
5451026007,01/03/2018,Single Family,3749 N GLENALBYN DR,LOS ANGELES,CA,90065,1,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656,949-625-4480,"3749 N GLENALBYN DR
LOS ANGELES, CA 90065
(34.093187, -118.216053)",24030,377,482,13,11,92
5104027010,10/19/2018,Single Family,1334 E 57TH ST,LOS ANGELES,CA,90011,9,Carrington Mortgage Services,Marshayla Johnson,866-563-1100,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778,"1334 E 57TH ST
LOS ANGELES, CA 90011
(33.991109, -118.251275)",22727,722,629,7,13,51
2316002030,01/04/2018,Single Family,11622 W KESWICK ST,LOS ANGELES,CA,91605,6,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656,949-625-4480,"11622 W KESWICK ST
LOS ANGELES, CA 91605
(34.210274, -118.385325)",8888,162,475,,3,14
6055024041,01/18/2018,Single Family,9470 S HOBART BLVD,LOS ANGELES,CA,90047,8,Federal National Mortgage Association,N/A N/a,800-732-6643,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,"9470 S HOBART BLVD
LOS ANGELES, CA 90047
(33.94901, -118.307858)",23678,779,1169,7,14,20
4256023027,05/25/2018,Single Family,2568 S MILITARY AVE,LOS ANGELES,CA,90064,5,Shellpoint Mortgage,Eric Moore,877-338-3791,"Cyprexx Services, LLC - Jefferson",Code Compliance,27720   Jefferson AVE 210 Temecula CA 92590,877-339-8202,"2568 S MILITARY AVE
LOS ANGELES, CA 90064
(34.035105, -118.430608)",24029,888,1251,9,6,75
7559031001,01/02/2018,Single Family,635 S BYNNER DR,SAN PEDRO,CA,90732,15,US Bank National Association,Jessica Vanella,612-973-2749,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"635 S BYNNER DR
SAN PEDRO, CA 90732
(33.738399, -118.315752)",3343,972,1449,,15,25
7420012008,10/25/2018,Single Family,1240 N RAVENNA AVE,LOS ANGELES,CA,90744,15,LAKEVIEW LOAN SERVICING,Cassie Justice,757-955-8014,Bron,Jessica Hamlet,41951   Remington AVE 150 Temecula CA 92590,951-291-3285,"1240 N RAVENNA AVE
LOS ANGELES, CA 90744
(33.787835, -118.268817)",3350,959,641,,15,15
5058021019,12/11/2018,Multi-Family,1871 W 25TH ST,LOS ANGELES,CA,90018,8,Mr. Cooper,Paula Acosta,800-468-1743,B2,Brian Bennis,3430   Mt Vernon AVE  Riverside CA 92507,224-518-7504,"1871 W 25TH ST
LOS ANGELES, CA 90018
(34.03365, -118.305059)",23079,679,643,7,14,32
5588029022,01/01/2018,Single Family,2651 N ABERDEEN AVE,LOS ANGELES,CA,90027,4,"Wilmington Trust, NA, successor trustee to Citibank, c/o Select Portfolio Servicing",NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-804-7437,"2651 N ABERDEEN AVE
LOS ANGELES, CA 90027
(34.116947, -118.289847)",23445,400,938,,7,3
2566004026,11/30/2018,Vacant Residential,7129 W HILLROSE ST,LOS ANGELES,CA,91042,7,"BAYVIEW LOAN SERVICING, LLC",Michael Lopata,954-590-7676,M & M Mortgage Services,Ingrid Lopez,5525   Morella AVE  Valley Village CA 91607,786-871-0806,"7129 W HILLROSE ST
LOS ANGELES, CA 91042
(34.262797, -118.286691)",3222,1,533,,1,7
2726015013,10/29/2018,Single Family,19501 W ROMAR ST,LOS ANGELES,CA,91324,12,CitiMortgage,Erin Theobald,877-290-3997,Safeguard Properties,Edward Zubiz,3540   wilshire BLVD  Los Angeles CA 90010,213-383-2097,"19501 W ROMAR ST
LOS ANGELES, CA 91324
(34.254537, -118.55821)",18513,97,219,,2,77
5690017008,11/24/2018,Multi-Family,1445  YOSEMITE DR,LOS ANGELES,CA,90041,14,COSIS LLC,Colin Hammett,916-895-6540,COSIS LLC,Colin Hammett,375   Via De La Mesa   Newbury Park CA 91342,916-895-6540,"1445 YOSEMITE DR
LOS ANGELES, CA 90041
(34.132704, -118.197452)",23672,364,1437,,9,60
2615028026,01/01/2018,Single Family,14325 W TORI CT,LOS ANGELES,CA,91345,7,"U.S. Bank, N.A., C/O Select Portfolio Servicing",NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"14325 W TORI CT
LOS ANGELES, CA 91345
(34.267105, -118.445328)",19330,70,380,,1,4
2175024025,12/18/2018,Single Family,4868 N ADELE CT,LOS ANGELES,CA,91364,3,Mr. Cooper,Paula Acosta,800-468-1743,B2,Brian Bennis,3430   Mt Vernon AVE  Riverside CA 92507,224-518-7504,"4868 N ADELE CT
LOS ANGELES, CA 91364
(34.159318, -118.572731)",19346,313,656,,4,49
5443006026,01/11/2018,Single Family,1916 W WHITMORE AVE,LOS ANGELES,CA,90039,13,CALIBER HOME LOANS,CHRISTINE CAYANAN,874-214-4174,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"1916 W WHITMORE AVE
LOS ANGELES, CA 90039
(34.095644, -118.251188)",23670,480,1428,,8,31
6088023017,12/20/2018,Single Family,11846 S ORCHARD AVE,LOS ANGELES,CA,90044,15,Fay Servicing,Eric Moore,877-338-3791,MCS,Code Compliance,350   Highland DR 100 Lewisville TX 75067,813-387-1100,"11846 S ORCHARD AVE
LOS ANGELES, CA 90044
(33.92515, -118.288108)",23675,815,735,7,15,53
5525012006,01/02/2018,Multi-Family,727 N ALTA VISTA BLVD,LOS ANGELES,CA,90046,5,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,OGIWA INCORPORATED,Giwa Olatunji,123   Morgan AL  PASADENA CA 91105,626-380-6275,"727 N ALTA VISTA BLVD
LOS ANGELES, CA 90046
(34.084449, -118.347442)",23677,446,805,,6,26
2613024025,11/27/2018,Single Family,11221 N AMBOY AVE,LOS ANGELES,CA,91340,7,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,MCS,Code Compliance,350   Highland DR 100 Lewisville TX 75067,813-387-1100,"11221 N AMBOY AVE
LOS ANGELES, CA 91340
(34.273897, -118.444731)",18910,71,1405,,1,4
2694007022,04/30/2018,Single Family,17169 W STARE ST,LOS ANGELES,CA,91325,12,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,Coldwell Banker Coastal Alliance,Eddy Leon,1650   Ximeno AVE 120 Long Beach CA 90804,562-961-2205,"17169 W STARE ST
LOS ANGELES, CA 91325
(34.253069, -118.507598)",18514,84,1420,,2,87
5585027017,01/08/2018,Single Family,6242 W TEMPLE HILL DR,LOS ANGELES,CA,90068,4,US Bank National Association,US BANK National Association,612-973-2749,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"6242 W TEMPLE HILL DR
LOS ANGELES, CA 90068
(34.110153, -118.324916)",24033,404,343,,7,64
2616022012,01/01/2018,Single Family,11163 N TELFAIR AVE,LOS ANGELES,CA,91331,7,"HSBC Bank USA, c/o SELECT PORTFOLIO SERVICING",NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   Whilshire BLVD 1109 Los Angeles CA 90010,213-804-7437,"11163 N TELFAIR AVE
LOS ANGELES, CA 91331
(34.272738, -118.435245)",18907,23,378,,1,11
2040009004,06/13/2018,Single Family,22647 W BURBANK BLVD,LOS ANGELES,CA,91367,3,US Bank NA C/O Select Portfolio Servicing,NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"22647 W BURBANK BLVD
LOS ANGELES, CA 91367
(34.171943, -118.62037)",19347,306,1555,,4,49
6033004037,07/17/2018,Single Family,1301 W 84TH ST,LOS ANGELES,CA,90044,8,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,"Cyprexx Services, LLC - Jefferson",Code Compliance,27720   Jefferson AVE 210 Temecula CA 92590,877-339-8202,"1301 W 84TH ST
LOS ANGELES, CA 90044
(33.962466, -118.29837)",23675,781,1163,7,14,20
2354008036,01/01/2018,Single Family,4702 N KRAFT AVE,LOS ANGELES,CA,91602,2,"HSBC Bank USA, c/o SELECT PORTFOLIO SERVICING",NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"4702 N KRAFT AVE
LOS ANGELES, CA 91602
(34.155982, -118.380087)",8489,344,1330,17,5,39
5561007010,11/19/2018,Single Family,9211 W NIGHTINGALE DR,HOLLYWOOD,CA,90069,4,"D&A International Investment Group, LLC",David Alexanderian,818-649-2525,"D&A International  Investment Group, LLC",DAVID ALEXANDERIAN,711   Ivy Street   Glendale CA 91204,818-649-2525,"9211 W NIGHTINGALE DR
HOLLYWOOD, CA 90069
(34.103836, -118.388967)",24034,459,729,,7,81
4019006027,01/11/2018,Single Family,4235 W 59TH ST,LOS ANGELES,CA,90043,8,DITECH FINANCIAL LLC,Property Pres Department,855-577-1602,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660,949-642-4801,"4235 W 59TH ST
LOS ANGELES, CA 90043
(33.98709, -118.348847)",23674,757,1188,7,14,24
4125013135,01/15/2018,Single Family,8620 S BELFORD AVE A-F,LOS ANGELES,CA,90045,11,SELENE FINANCE LP,CUSTOMER SERVICE,877-735-3637,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,818-406-3611,"8620 S BELFORD AVE A-F
LOS ANGELES, CA 90045
(33.95953, -118.383948)",23676,934,1070,10,10,16
6050006023,12/07/2018,Single Family,831 E 94TH ST,LOS ANGELES,CA,90002,9,CENLAR MORTGAGE FSB,PATRICIA BRACEY,609-883-3900,SAFEGUARD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,"831 E 94TH ST
LOS ANGELES, CA 90002
(33.951132, -118.259707)",22351,806,1174,7,13,45
2504001025,01/09/2018,Single Family,13375 N PHILLIPPI AVE,LOS ANGELES,CA,91342,7,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,MCS,Code Compliance,350   Highland DR 100 Lewisville TX 75067,813-387-1100,"13375 N PHILLIPPI AVE
LOS ANGELES, CA 91342
(34.315109, -118.449756)",18912,44,1529,,1,47
6119012061,06/15/2018,Single Family,14703 S DENVER AVE,LOS ANGELES,CA,90248,15,Wells Fargo Bank N.A C/O Select Portfolio Servicing,NA NA,888-349-8964,Safeguard Properties,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-387-2097,"14703 S DENVER AVE
LOS ANGELES, CA 90248
(33.898751, -118.284438)",24685,940,761,7,15,53
5671011011,11/29/2018,Single Family,5243 N NORTH MAYWOOD AVE,LOS ANGELES,CA,90041,14,Mr. Cooper,Paula Acosta,800-468-1743,B2,Brian Bennis,3430   Mt Vernon AVE  Riverside CA 92507,224-518-7504,"5243 N NORTH MAYWOOD AVE
LOS ANGELES, CA 90041
(34.141743, -118.211699)",23672,354,568,,9,60
2747014147,11/13/2018,Single Family,10000 N OWENSMOUTH AVE,LOS ANGELES,CA,91311,12,Mr. Cooper,Paula Acosta,800-468-1743,B2,Brian Bennis,3430   Mt Vernon AVE  Riverside CA 92507,224-518-7504,"10000 N OWENSMOUTH AVE
LOS ANGELES, CA 91311
(34.252303, -118.601664)",4284,90,231,,2,43
4236005001,11/13/2018,Multi-Family,2415 S GLYNDON AVE,VENICE,CA,90291,11,"Easy Realty and Loans Inc, a California corporation, Beneficiary",Matthew Matoesian,323-319-2583,"Easy Realty and Loans, Inc. a California corporation, Beneficiary",Matthew Matoesian,6125   Washington BLVD 300 Culver city CA 90232,323-319-2583,"2415 S GLYNDON AVE
VENICE, CA 90291
(33.99528, -118.448793)",25073,912,1394,10,10,30
2076012046,07/06/2018,Single Family,4510 N STARK AVE,LOS ANGELES,CA,91364,3,"U.S. Bank N.A., c/o Select Portfolio Servicing",NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-383-2097,"4510 N STARK AVE
LOS ANGELES, CA 91364
(34.15199, -118.623749)",19346,310,985,,4,49
5558021017,11/29/2018,Single Family,1713 N QUEENS CT,LOS ANGELES,CA,90069,4,Mr. Cooper,Paula Acosta,800-468-1743,"AFS c/o NEW BEGINNING PROPERTIES, INC",Chavez Lourdes,999  W Marshall BLVD  San Bernardino CA 92405,800-468-1743,"1713 N QUEENS CT
LOS ANGELES, CA 90069
(34.101299, -118.3778)",24034,458,727,,7,81
2601028035,09/24/2018,Single Family,12006 N HIGHWATER ROAD,LOS ANGELES,CA,91344,12,"Wilmington Trust, NA, successor trustee to Citibank, c/o Select Portfolio Servicing",NA NA,888-349-8964,Safeguard Properties,Ed Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,"12006 N HIGHWATER ROAD
LOS ANGELES, CA 91344
(34.289339, -118.519211)",19329,54,1407,,2,78
2038027030,11/06/2018,Single Family,6701 N SALE AVE,LOS ANGELES,CA,91307,12,BANK OF AMERICA,VPR DEPARTMENT,213-345-6264,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,818-406-3611,"6701 N SALE AVE
LOS ANGELES, CA 91307
(34.192505, -118.618545)",4283,296,320,,2,44
2701068047,11/29/2018,Single Family,11407 N SANTINI LANE,LOS ANGELES,CA,91326,12,Mr. Cooper,Paula Acosta,800-468-1743,Remedy Field Services,Brandon Cole,15615   Alton PKWY 450 Irvine CA 92618,800-468-1743,"11407 N SANTINI LANE
LOS ANGELES, CA 91326
(34.278566, -118.587486)",18905,66,909,14,2,48
6023012011,07/11/2018,Single Family,1000 E 74TH ST,LOS ANGELES,CA,90001,9,U.S. Bank N.A. C/O Select Portfolio Servicing,NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   wilshire BLVD  Los Angeles CA 90010,213-383-2097,"1000 E 74TH ST
LOS ANGELES, CA 90001
(33.973003, -118.257629)",22350,790,997,7,13,46
7562015008,01/01/2018,Single Family,1642 W 22ND ST,SAN PEDRO,CA,90732,15,Bank of New York Mellon C/O Select Portfolio Servicing,NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"1642 W 22ND ST
SAN PEDRO, CA 90732
(33.725276, -118.312858)",3343,984,1454,,15,33
2647028096,01/01/2018,Single Family,14333 W VAN NUYS BLVD,LOS ANGELES,CA,91331,6,Deutsche Bank C/O Select Portfolio Servicing,NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"14333 W VAN NUYS BLVD
LOS ANGELES, CA 91331
(34.248674, -118.445968)",18907,130,402,,3,41
2423030052,10/25/2018,Single Family,10650 W CHIQUITA ST,LOS ANGELES,CA,91602,2,Kenny Lim,Kenny Lim,818-913-2577,Safeguard,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,"10650 W CHIQUITA ST
LOS ANGELES, CA 91602
(34.14412, -118.364003)",8489,348,708,,5,84
2510020035,06/02/2018,Single Family,13463 W HUBBARD ST,LOS ANGELES,CA,91342,7,Bayview,Eric Moore,877-338-3791,Safeguard c/o Bron Inc Jefferson,Code Compliance,27720   Jefferson AVE 210 Temecula CA 92590,800-852-8306,"13463 W HUBBARD ST
LOS ANGELES, CA 91342
(34.310668, -118.426682)",18912,41,289,,1,47
