APN,Registered Date,Property Type,Property Address,Property City,Property State,Property Zip,Council District,Lender,Lender Contact,Lender Contact Phone,Property Management,Property Management Contact,Property Management Address,Property Management Contact Phone,Longitude,Latitude,Property on Map,Zip Codes
2335006009,1/4/2019,Multi-Family,11558 1/2 W HAYNES ST,NORTH HOLLYWOOD,CA,91606,2,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656,949-625-4480,-118.3837,34.1893,POINT (-118.38370000000002 34.1893),8889
2622017025,3/7/2019,Single Family,9809 N RINCON AVE,LOS ANGELES,CA,91331,7,US Bank NA as Trustee for LSF8 Master Participation Trust,Tannis Stoops,404-655-9334,WRI Property Management,Tannis Stoops,14726   Ramona AVE W8 Chino CA 91710,404-655-9334,-118.41939,34.24833,POINT (-118.41939000000002 34.24833000000001),18907
2640004013,1/7/2019,Single Family,9076 N VARNA AVE,LOS ANGELES,CA,91331,6,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,Lender Processing Services,Jenna Douglas,1003  E Brier DR  San Bernardino CA 92408,877-617-8274,-118.43243,34.23507,POINT (-118.43243 34.23507),18907
2661025006,1/17/2019,Single Family,15739 W VINTAGE ST,LOS ANGELES,CA,91343,12,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,Lender Processing Services,Jenna Douglas,1003  E Brier DR  San Bernardino CA 92408,877-617-8274,-118.47535,34.25204,POINT (-118.47535000000002 34.25204),18914
2353023011,1/23/2019,Multi-Family,4865 N BAKMAN AVE,NORTH HOLLYWOOD,CA,91601,2,JP Morgan Chase NA,Amy Lott,888-310-1506,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778,-118.37758,34.15981,POINT (-118.37758 34.15981),8488
2023007017,1/1/2019,Single Family,22021 W CANTLAY ST,LOS ANGELES,CA,91303,3,"U.S. Bank N.A., c/o Select Portfolio Servicing",NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.60678,34.20209,POINT (-118.60677999999999 34.20209),4278
2184014003,1/15/2019,Single Family,4501 N GRIMES PL,LOS ANGELES,CA,91316,5,"5 AIF Sycamore2, LLC",Randy Zuckerman,949-387-2422,"5AIF Sycamore 2, LLC",Randy Zuckerma,19800   MacArthur BLVD 1150 Irvine CA 92612,949-387-2422,-118.52586,34.15135,POINT (-118.52586 34.15135),4286
5563008017,2/28/2019,Vacant Residential,8716 W WONDERLAND AVE,HOLLYWOOD,CA,90046,4,Mecca Financial Inc,Steve Wheeler,951-694-3904,NULL,NULL,,NULL,-118.38498,34.1125,POINT (-118.38498000000001 34.1125),23677
2510020035,1/2/2019,Single Family,13463 W HUBBARD ST,LOS ANGELES,CA,91342,7,"Trustee Corps, Bayview Loan Servicing",Madeline DeFranco,305-631-3760,Safeguard c/o Bron Inc Jefferson,Code Compliance,27720   Jefferson AVE 210 Temecula CA 92590,800-852-8306,-118.4268,34.31088,POINT (-118.4268 34.31088),18912
2404011012,1/2/2019,Single Family,8633 N BLUFFDALE DR,LOS ANGELES,CA,91352,2,Celink,Daniel Stack,866-727-4303,Red A Ranch,Robert Buchanan,132  N Pine ST A San Gabriel CA 91775,626-287-4431,-118.36052,34.22712,POINT (-118.36051999999998 34.22712),19335
2666020019,1/16/2019,Single Family,16015 W SAN FERNANDO MISSION BLVD,LOS ANGELES,CA,91344,12,Fay Servicing,Eric Moore,877-338-3791,MCS,Code Compliance,350   Highland DR 100 Lewisville TX 75067,813-387-1100,-118.4809,34.27203,POINT (-118.4809 34.27203000000001),19329
2533005014,1/21/2019,Single Family,13038 W WEIDNER ST,LOS ANGELES,CA,91331,7,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,Lender Processing Services,Jenna Douglas,1003  E Brier DR  San Bernardino CA 92408,877-617-8274,-118.41672,34.27725,POINT (-118.41672 34.27725),18907
2654007094,1/21/2019,Single Family,8760 N BURNET AVE 1-10,LOS ANGELES,CA,91343,6,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,Elizabeth Acosta,Elizabeth Acosta,11030   Arrow Route  102 RANCHO CUCAMONGA CA 91730,929-481-1100,-118.46311,34.23001,POINT (-118.46310999999999 34.23001),18914
2213001010,2/28/2019,Single Family,14033 W BURTON ST,LOS ANGELES,CA,91402,6,Mr. Cooper LLC,Paula Acosta,800-468-1743,Xome Field Services C/O New Beginning Properties Inc.,Lourdes Chavez,999  W Marshall BLVD  San Bernadino CA 92405,800-468-1743,-118.43888,34.22078,POINT (-118.43888000000001 34.220780000000005),19730
2172018022,3/21/2019,Single Family,21091 W ALHAMA DR,LOS ANGELES,CA,91364,3,Mr. Cooper LLC,Paula Acosta,800-468-1743,Xome Field Services C/O New Beginning Properties Inc.,Lourdes Chavez,999  W Marshall BLVD  San Bernadino CA 92405,800-468-1743,-118.59225,34.14929,POINT (-118.59225000000002 34.14929),19346
2119014008,1/30/2019,Single Family,7435 N ETIWANDA AVE,LOS ANGELES,CA,91335,3,Select Portfolio Servicing,Code Violations,888-349-8964,Safeguard Properties,Edward Zubia,3540   Wilshire  1109 Los Angeles CA 90010,213-383-2097,-118.53182,34.20586,POINT (-118.53182 34.20586),18909
2022003016,2/4/2019,Single Family,22717 W CANTLAY ST,LOS ANGELES,CA,91307,12,Cenlar FSB,Athena Santos,609-883-3900,Safeguard Properties,Edward Zubiz,3540   wilshire BLVD  Los Angeles CA 90010,213-383-2097,-118.62198,34.20202,POINT (-118.62198 34.202020000000005),4283
2024021004,1/30/2019,Single Family,7012 N VICKY AVE,LOS ANGELES,CA,91307,12,PennyMac Loan Services,Property Preservation,866-695-4122,Safeguard Properties Inc.,Stephanie Cole,7887   Safeguard Circle   Valley View OH 44125,800-852-8306,-118.62029,34.19831,POINT (-118.62029 34.19831),4283
2146037083,1/3/2019,Single Family,5500 N OWENSMOUTH AVE,WOODLAND HILLS,CA,91367,3,"CALIBER HOME LOANS, INC.",KANDYCE HUGHES,214-874-4174,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.60166,34.17182,POINT (-118.60166 34.17182),19347
2275033005,1/17/2019,Single Family,14663 W DEERVALE PL,LOS ANGELES,CA,91403,4,Specialized Loan Servicing LLC,n/a n/a,800-842-7654,NULL,NULL,,NULL,-118.454,34.13736,POINT (-118.45400000000001 34.13736),19732
2274022013,1/1/2019,Single Family,3310 N COY DR,LOS ANGELES,CA,91423,4,Deutsche Bank National Trust c/o Select Portfolio Servicing,SELECT SERVICING,888-349-8964,Safeguard Properties,Ed Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,-118.44525,34.13164,POINT (-118.44525 34.13164),19736
2127012075,1/21/2019,Single Family,6321 N RESEDA BLVD,LOS ANGELES,CA,91335,3,"SETERUS, INC",Property Preservation,877-735-3637,SO CAL INSPECTORS INC,Suzanne Phillips,9525   Stewart and Gray RD  Downey CA 90241,760-591-9244,-118.53622,34.18522,POINT (-118.53622 34.18522),18909
2634025012,1/30/2019,Single Family,8323 N CANTERBURY AVE,LOS ANGELES,CA,91352,6,Mr. Cooper,Paula Acosta,800-468-1743,Remedy Field Services,Brandon Cole,15615   Alton PKWY 450 Irvine CA 92618,800-468-1743,-118.41751,34.22252,POINT (-118.41751 34.22252),19335
2249021007,2/27/2019,Single Family,14800 W MCCORMICK ST,VAN NUYS,CA,91411,4,Mr. Cooper LLC,Paula Acosta,800-468-1743,Xome Field Services C/O New Beginning Properties Inc.,Lourdes Chavez,999  W Marshall BLVD  San Bernadino CA 92405,800-468-1743,-118.45544,34.16575,POINT (-118.45544 34.16575),19732
2013025018,2/28/2019,Single Family,8121 N CAPISTRANO AVE,LOS ANGELES,CA,91304,12,"Dovenmuehle Mortgage, Inc.",n/a n/a,888-397-5370,Safeguard,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.61718,34.2171,POINT (-118.61717999999999 34.2171),4279
2134008009,1/14/2019,Single Family,19944 W KITTRIDGE ST,LOS ANGELES,CA,91306,3,Carrington Mortgage Services,Marshayla Johnson,866-563-1100,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778,-118.5682,34.19084,POINT (-118.5682 34.19084000000001),4282
2429018007,1/2/2019,Single Family,3170 N CADET CT,LOS ANGELES,CA,90068,4,"Trustee Corps, Bayview Loan Servicing",Madeline DeFranco,305-631-3760,Safeguard c/o Bron Inc Jefferson,Code Compliance,27720   Jefferson AVE 210 Temecula CA 92590,800-852-8306,-118.3464,34.12633,POINT (-118.3464 34.12633000000001),24033
2538027011,3/28/2019,Single Family,11218 W SHELDON ST,LOS ANGELES,CA,91352,7,Carrington Mortgage Services,Marshayla Johnson,866-563-1100,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660,949-642-4801,-118.37527,34.25263,POINT (-118.37527000000001 34.25263),19335
2012020037,2/18/2019,Single Family,7642 N NITA AVE,LOS ANGELES,CA,93063,3,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,Pinelands Preservation,Will Wheelehan,44501   Auburn BLVD  Sacramento CA 95841,916-277-8243,-118.61302,34.2095,POINT (-118.61302 34.2095),4279
2530039049,3/12/2019,Single Family,11384 W GOLETA ST,LOS ANGELES,CA,91342,7,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660,949-642-4801,-118.38146,34.28153,POINT (-118.38146000000002 34.28153),18912
2104031098,1/1/2019,Single Family,19231 W SHERMAN WAY,LOS ANGELES,CA,91335,3,U.S. Bank N.A co select portfolio servicing,NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,-118.55238,34.20246,POINT (-118.55238 34.20246),18909
2216008007,2/1/2019,Single Family,7112 N COSTELLO AVE,LOS ANGELES,CA,91405,2,"Dovenmuehle Mortgage, Inc",Victor Escobar,847-550-7300,SAFEGUARD,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,-118.43767,34.19986,POINT (-118.43767000000001 34.19986),19733
2530037001,1/1/2019,Single Family,11308 W KAMLOOPS ST,LOS ANGELES,CA,91342,7,US Bank NA C/O Select Portfolio Services,N/A N/A,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.37691,34.28043,POINT (-118.37690999999998 34.28043),18912
2231023055,1/3/2019,Multi-Family,6512 N BALBOA BLVD,VAN NUYS,CA,91406,6,"CALIBER HOME LOANS, INC.",CHRISTINE CAYANAN,214-874-4174,"US Best Repair Service, Inc","US Best Repair Service, Inc",2501   Alton PKWY  Irvine CA 92606,714-559-7835,-118.50089,34.1891,POINT (-118.50088999999998 34.1891),19734
2533028004,3/25/2019,Single Family,12921 W LOUVRE ST,LOS ANGELES,CA,91331,7,Quicken Loan Servicing,Eric Moore,877-338-3791,MCS,Code Compliance,350   Highland DR 100 Lewisville TX 75067,813-387-1100,-118.41434,34.27817,POINT (-118.41434 34.27817),18907
2244022019,2/6/2019,Single Family,14618 W MARTHA ST,VAN NUYS,CA,91411,4,"SETERUS, INC",SETERUS INC,877-272-2149,SO CAL INSPECTORS VPR,Suzanne Phillips,9525   Stewart and Gray RD  Downey CA 90241,760-591-9244,-118.45164,34.17288,POINT (-118.45164000000001 34.17288),19735
2615017046,1/7/2019,Single Family,14600 W CHATSWORTH DR,LOS ANGELES,CA,91345,7,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656,949-625-4480,-118.45056,34.2722,POINT (-118.45055999999998 34.2722),19330
2307010014,3/1/2019,Single Family,12167 W KESWICK ST,LOS ANGELES,CA,91605,2,"HSBC BANK USA, N.A.",SEE TDUS,310-777-6375,"The Harvey Group, Inc.",Joyce Essex Harvey,301  N Canon DR E Beverly HIlls CA 90210,310-777-6375,-118.39909,34.2105,POINT (-118.39909 34.2105),8888
2130022030,1/1/2019,Single Family,7113 N TUNNEY AVE,LOS ANGELES,CA,91335,3,US Bank C/O Select Portfolio Servicing,N/A N/A,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.55712,34.19962,POINT (-118.55711999999998 34.19962),18909
2423011044,1/1/2019,Single Family,11157 W LANDALE ST,LOS ANGELES,CA,91602,4,"Deutsche Bank, c/o Select Portfolio Servicing",NA NA,888-349-8964,Safeguard Properties,Edward Zubia,3540   Wilshire  1109 Los Angeles CA 90010,213-383-2097,-118.37402,34.15149,POINT (-118.37402 34.15149),8489
2076005014,2/28/2019,Single Family,4816 N REGALO ROAD,LOS ANGELES,CA,91364,3,"Dovenmuehle Mortgage, Inc.",n/a n/a,888-397-5370,Safeguard,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.61774,34.15651,POINT (-118.61774 34.15651),19346
2553005020,1/28/2019,Single Family,10875 N AMIDON PL,LOS ANGELES,CA,91042,7,"Dovenmuehle Mortgage, Inc.",n/a n/a,888-397-5370,Safeguard,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.28756,34.26701,POINT (-118.28755999999998 34.26701),3222
2369035047,1/21/2019,Single Family,3920 N BLUE CANYON DR,LOS ANGELES,CA,91604,2,bayview,Willie Walton,714-848-7920,"Sables Servco, LLC",Jesse Talavera,30   Corporate Park  450 Irvine CA 92606,714-580-8567,-118.38496,34.13949,POINT (-118.38496 34.13949),8492
2266024041,1/9/2019,Single Family,4146 N MURIETTA AVE,LOS ANGELES,CA,91423,4,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656,949-625-4480,-118.43677,34.14566,POINT (-118.43676999999998 34.14566),19736
2347029004,1/21/2019,Single Family,5240 N WILKINSON AVE,LOS ANGELES,CA,91607,2,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656,949-625-4480,-118.40402,34.16614,POINT (-118.40402 34.16614),8890
2120013001,1/29/2019,Single Family,18027 W HATTON ST,LOS ANGELES,CA,91335,12,Franklin Credit Management Corporation,Delray Ross,800-255-5897,Law Office of Les Zieve,Dawn Talavera,30   Corporate PARK 450 IRVINE CA 92606,714-580-8567,-118.52601,34.21008,POINT (-118.52601 34.21008),18909
2634013026,2/27/2019,Single Family,8700 N SHARP AVE,LOS ANGELES,CA,91352,6,Mr. Cooper LLC,Paula Acosta,800-468-1743,Xome Field Services C/O New Beginning Properties Inc.,Lourdes Chavez,999  W Marshall BLVD  San Bernadino CA 92405,800-468-1743,-118.4049,34.22776,POINT (-118.4049 34.22776),19335
2184007013,2/22/2019,Single Family,18145 W KAREN DR,LOS ANGELES,CA,91356,3,"PEAK FORECLOSURE SERVICES, INC.",Kelli Espinoza,818-591-9237,NULL,NULL,,NULL,-118.52978,34.1563,POINT (-118.52978 34.1563),19339
2649015032,1/21/2019,Single Family,10340 N ORION AVE,LOS ANGELES,CA,91345,7,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,LPS,Jenna Douglas,1003  E Brier DR  San Bernardino CA 92408,281-404-7816,-118.47122,34.25862,POINT (-118.47122 34.25862),19330
2328030001,1/4/2019,Single Family,13342 W BARBARA ANN ST,LOS ANGELES,CA,91605,2,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,Property Preservation Servicing LLC,Trevethan Aaron,5   Columbia   ALISO VIEJO CA 92656,949-625-4480,-118.42402,34.20016,POINT (-118.42402 34.20016),8888
2624006027,1/3/2019,Single Family,9945 N TAMARACK AVE,LOS ANGELES,CA,91331,7,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,OGIWA INCORPORATED,Olatunji Giwa,1028  N Lake AVE 208 PASADENA CA 91104,626-787-1471,-118.4105,34.25074,POINT (-118.4105 34.25074),18907
2644027181,3/7/2019,Single Family,9431 N WOODMAN AVE,LOS ANGELES,CA,91402,6,US Bank NA as Trustee for LSF9 Master Participation Trust,Tannis Stoops,404-655-9334,WRI Property Management,Tannis Stoops,14726   Ramona AVE  Chino CA 91710,909-529-3707,-118.445,34.24184,POINT (-118.44499999999998 34.24184),19730
2245007032,3/4/2019,Single Family,14301 W KILLION ST,LOS ANGELES,CA,91401,4,"Capital Benefit, Inc.",Marcel Bruetsch,949-566-9040,"Capital Benefit, Inc.",Marcel Bruetsch,2727   Newport BLVD 203 Newport Beach CA 92663,949-566-9040,-118.44455,34.1709,POINT (-118.44455 34.1709),19729
2228024034,1/18/2019,Single Family,7106 N JELLICO AVE,LOS ANGELES,CA,91406,6,"DOVENMUEHLE MORTGAGE, INC.",PROPERTY PRESERVATION,847-550-7410,"Safeguard Properties Management, LLC",Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.51726,34.19946,POINT (-118.51726 34.19946),19734
2639008119,1/11/2019,Single Family,9210 N VAN NUYS BLVD,LOS ANGELES,CA,91402,6,PNC MORTGAGE PRESALE,JENNIFER SMITH,937-910-1887,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,-118.45005,34.23759,POINT (-118.45005 34.237590000000004),19730
2228003025,3/15/2019,Single Family,7337 N CALDUS AVE,LOS ANGELES,CA,91406,6,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,LPS,Jenna Douglas,1003  E Brier DR  San Bernardino CA 92408,281-404-7816,-118.5158,34.20412,POINT (-118.51579999999998 34.20412),19734
2508015024,1/7/2019,Single Family,14262 W BERG ST,LOS ANGELES,CA,91342,7,LAKEVIEW LOAN SERVICING,Cassie Justice,757-955-8014,"Incorp Services, Inc",Registrations Department,5716   Corsa Ave Suite 110   Westlake Village CA 91362,888-727-6303,-118.44395,34.30527,POINT (-118.44395 34.30527),18912
2627010006,1/15/2019,Single Family,13267 W RELIANCE ST,LOS ANGELES,CA,91331,6,Reverse Mortgage Solutions Inc.,Amy Sporn,832-616-5910,South Pacific Field Services LLC,Tamie Mason,31568   Railroad Canyon ROAD 100 Canyon Lake CA 92587,951-696-8100,-118.42155,34.2307,POINT (-118.42155000000001 34.230700000000006),18907
2266028010,1/9/2019,Single Family,4169 N MURIETTA AVE,LOS ANGELES,CA,91423,4,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,OGIWA INCORPORATED,Giwa Olatunji,123   Morgan AL  PASADENA CA 91105,626-380-6275,-118.43745,34.14561,POINT (-118.43745 34.14561),19736
2530022081,1/2/2019,Single Family,11300 W FOOTHILL BLVD,LOS ANGELES,CA,91342,7,M&T Bank,Eric Moore,877-338-3791,BRON Inc.,Eric Moore,27720   Jefferson AVE 210 Temecula CA 92590,877-338-3791,-118.37675,34.27556,POINT (-118.37675000000002 34.27556),18912
2656003027,1/17/2019,Single Family,9831 N SEPULVEDA BLVD,NORTH HILLS,CA,91343,7,Wells Fargo Bank N.A.,Jenna Douglas,877-617-5274,LPS,Jenna Douglas,1003  E Brier DR  San Bernardino CA 92408,281-404-7816,-118.46774,34.24954,POINT (-118.46774 34.24954),18914
2014014004,3/5/2019,Single Family,7746 N MCLAREN AVE,LOS ANGELES,CA,93063,12,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,Asset Foreclosure Services,Foreclosure Services,22837   Ventura blvd  Woodland Hills CA 91364,818-225-7780,-118.62409,34.21138,POINT (-118.62409 34.21138),4279
2028034011,2/12/2019,Single Family,24201 W HIGHLANDER ROAD,LOS ANGELES,CA,91307,12,CALIBER HOME LOANS,CHRISTINE CAYANAN,874-214-4174,SAFEGUARD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,-118.65196,34.19658,POINT (-118.65196000000002 34.19658),4283
2337036018,1/7/2019,Single Family,11322 1/2 W HATTERAS ST,LOS ANGELES,CA,91601,2,RUSHMORE LOAN MANAGEMENT SERVICES,PROPERTY PRESERVATION,949-341-5601,SAFEGAURD PROPERTIES,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-383-2097,-118.37754,34.17569,POINT (-118.37754000000001 34.17569),8488
2039026001,1/1/2019,Single Family,22430 W SYLVAN ST,LOS ANGELES,CA,91367,3,US-BANK National Association,Jessica Vanella,612-973-2749,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.61621,34.18449,POINT (-118.61621 34.18449),19347
2613018029,2/21/2019,Single Family,11442 N LAUREL CANYON BLVD,LOS ANGELES,CA,91340,7,Carrington Mortgage Services,Marshayla Johnson,866-563-1100,MCS,Code Compliance,350   Highland DR 100 Lewisville TX 75067,813-387-1100,-118.45226,34.27799,POINT (-118.45226 34.27799),18910
2607021020,1/1/2019,Single Family,11523 N BABBITT AVE,LOS ANGELES,CA,91344,12,"HSBC Bank USA, N.A., c/o Select Portfolio Servicing",NA NA,888-349-8964,Edward Zubia,Edward Zubia,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010,213-804-7437,-118.5084,34.28002,POINT (-118.5084 34.28002),19329
2536026006,2/26/2019,Single Family,12566 W TERRA BELLA ST,LOS ANGELES,CA,91331,7,LAKEVIEW LOAN SERVICING,Cassie Justice,757-955-8014,First Allegiance,Registration Department,5716   Corsa AVE 110 Westlake Village CA 91362,888-727-6303,-118.40672,34.2662,POINT (-118.40672000000002 34.2662),18907
2530033019,1/16/2019,Single Family,11465 N HELA AVE,LOS ANGELES,CA,91342,7,"Ocwen Loan Servicing, LLC",Judy Credit,800-746-2936,OGIWA INCORPORATED,Olatunji Giwa,1028  N Lake AVE 208 PASADENA CA 91104,626-787-1471,-118.38552,34.27817,POINT (-118.38552000000001 34.27817),18912
2209027005,1/29/2019,Single Family,15224 W LANARK ST,LOS ANGELES,CA,91402,6,Carrington Mortgage Services,Marshayla Johnson,866-563-1100,Pinelands Preservation,Aaron Noble,1906   Irvine AVE  Newport Beach CA 92660,949-294-8778,-118.46444,34.21775,POINT (-118.46444000000001 34.21775),19730
2513029003,1/2/2019,Single Family,13070 W FOOTHILL BLVD,LOS ANGELES,CA,91342,7,Shellpoint Mortgage Servicing,Eric Moore,877-338-3791,"Cyprexx Services, LLC - Jefferson",Code Compliance,27720   Jefferson AVE 210 Temecula CA 92590,877-339-8202,-118.41947,34.29716,POINT (-118.41947 34.297160000000005),18910
