APN,RegisteredDate,PropertyType,PropertyAddress,PropertyCity,PropertyState,PropertyZip,CouncilDistrict,Lender
5716014023,11/10/2016,Single Family,"949 N RUTLAND AVE
LOS ANGELES, CA 90042
(34.122857, -118.1722)",LOS ANGELES,CA,90042,14,NATIONSTAR MORTGAGE LLC
2650026042,11/17/2016,Single Family,"14627 W GLEDHILL ST
LOS ANGELES, CA 91402
(34.241392, -118.451643)",LOS ANGELES,CA,91402,6,"CALIBER HOME LOANS, inc."
2565010031,6/24/2016,Single Family,"10408 N LAS LUNITAS AVE
LOS ANGELES, CA 91042
(34.257862, -118.291321)",LOS ANGELES,CA,91042,7,Bayview Loan Servicing LLC
2656004015,1/4/2016,Single Family,"15437 W KINZIE ST
LOS ANGELES, CA 91343
(34.247851, -118.468998)",LOS ANGELES,CA,91343,7,U.S. Bank N.A.
4009005020,11/15/2016,Single Family,"2923 W 74TH ST
LOS ANGELES, CA 90043
(33.972752, -118.32513)",LOS ANGELES,CA,90043,8,Champion Mortgage Company c/o BDF Law
2222033023,2/7/2016,Single Family,"15345 W HART ST
VAN NUYS, CA 91406
(34.19754, -118.467817)",VAN NUYS,CA,91406,6,c/o Select Portfolio Servicing
6075016015,1/4/2016,Single Family,"11115 S DENVER AVE
LOS ANGELES, CA 90044
(33.934217, -118.284809)",LOS ANGELES,CA,90044,8,"U.S. Bank,  N.A. C/O Select Portfolio Servicing"
2729019016,3/2/2016,Single Family,"18701 W LASSEN ST
LOS ANGELES, CA 91324
(34.250231, -118.540667)",LOS ANGELES,CA,91324,12,JP Morgan Chase NA
7346002027,1/7/2016,Single Family,"1541 W 218TH ST
LOS ANGELES, CA 90501
(33.830274, -118.305279)",LOS ANGELES,CA,90501,15,Nationstar Mortgage LLC
2722007008,6/6/2016,Single Family,"10465 N WILLOWBRAE AVE
LOS ANGELES, CA 91311
(34.260796, -118.598932)",LOS ANGELES,CA,91311,12,DITECH FINANCIAL LLC
2201020009,9/12/2016,Single Family,"7913 N LOUISE AVE
LOS ANGELES, CA 91325
(34.214275, -118.509862)",LOS ANGELES,CA,91325,12,US BANK HOME MORTGAGE
2137005001,3/3/2016,Single Family,"6939 N SUNNY BRAE AVE
LOS ANGELES, CA 91306
(34.196565, -118.580385)",LOS ANGELES,CA,91306,3,Solutionstar Field Services
2028018017,12/13/2016,Single Family,"23323 W BALMORAL LANE
LOS ANGELES, CA 91307
(34.198758, -118.635129)",LOS ANGELES,CA,91307,12,Bank of America
2726004011,8/12/2016,Single Family,"19730 W SEPTO ST
LOS ANGELES, CA 91311
(34.250957, -118.563498)",LOS ANGELES,CA,91311,12,"HSBC Bank USA, NA c/o Select Portfolio Servicing"
2625018009,1/2/2016,Single Family,"9309 N ARLETA AVE
LOS ANGELES, CA 91331
(34.239404, -118.423245)",LOS ANGELES,CA,91331,6,Deutsche Bank National Trust Company C/O Select Portfolio Servicing
2688009015,11/17/2016,Single Family,"9015 N DEBRA AVE
LOS ANGELES, CA 91343
(34.234229, -118.490571)",LOS ANGELES,CA,91343,12,Wells Fargo Bank N.A.
2506020005,12/14/2016,Single Family,"13145 N HERRICK AVE
LOS ANGELES, CA 91342
(34.309096, -118.458084)",LOS ANGELES,CA,91342,7,Nationstar Mortgage LLC
7415024003,11/23/2016,Single Family,"1110 N RONAN AVE
LOS ANGELES, CA 90744
(33.785122, -118.272079)",LOS ANGELES,CA,90744,15,Wells Fargo Bank N.A.
2654026050,1/4/2016,Single Family,"8333 N COLUMBUS AVE
LOS ANGELES, CA 91343",LOS ANGELES,CA,91343,6,"Wilmington Trust, NA C/O Select Portfolio Servicing"
2664024016,12/2/2016,Single Family,"11418 N INDIAN HILLS RD
LOS ANGELES, CA 91345
(34.277944, -118.459073)",LOS ANGELES,CA,91345,7,Specialized Loan Servicing as Servicing Agent for Beneficiary
5013019029,5/6/2016,Single Family,"5017 S 11TH AVE
LOS ANGELES, CA 90043
(33.997146, -118.329369)",LOS ANGELES,CA,90043,8,"Financial Freedom, a division of CIT bank."
6038022013,10/6/2016,Single Family,"8628 S MENLO AVE
LOS ANGELES, CA 90044
(33.959167, -118.290434)",LOS ANGELES,CA,90044,8,"Deutsche Bank, c/o Select Portfolio Servicing"
2668015004,4/22/2016,Single Family,"10437 N DEMPSEY AVE
LOS ANGELES, CA 91344
(34.260325, -118.477193)",LOS ANGELES,CA,91344,12,PennyMac
2582026021,11/18/2016,Single Family,"13969 N WALLABI AVE
LOS ANGELES, CA 91342
(34.325771, -118.408548)",LOS ANGELES,CA,91342,7,2nd Chance Mortgages Inc.
2113013062,3/22/2016,Single Family,"7307 N KELVIN AVE
LOS ANGELES, CA 91306
(34.203086, -118.586292)",LOS ANGELES,CA,91306,3,Bank of New York Mellon
5001028024,1/25/2016,Multi-Family,"621 W 53RD ST
LOS ANGELES, CA 90037
(33.99418, -118.284979)",LOS ANGELES,CA,90037,9,Solutionstar Field Services
6011009008,3/4/2016,Single Family,"314 E 70TH ST
LOS ANGELES, CA 90003
(33.97617, -118.268916)",LOS ANGELES,CA,90003,9,"Financial Freedom, a division of CIT bank."
6068012056,9/13/2016,Single Family,"2352 E 108TH ST
LOS ANGELES, CA 90059
(33.936993, -118.230061)",LOS ANGELES,CA,90059,15,Bank of America
6037012007,11/30/2016,Single Family,"8756 S DENKER AVE
LOS ANGELES, CA 90047
(33.957347, -118.304656)",LOS ANGELES,CA,90047,8,Specialized Loan Servicing as Servicing Agent for Beneficiary
2506033015,10/28/2016,Single Family,"12677 N BRADLEY AVE
LOS ANGELES, CA 91342
(34.300539, -118.453406)",LOS ANGELES,CA,91342,7,"SETERUS, INC"
2290026020,1/2/2016,Single Family,"4625 N LOUISE AVE
LOS ANGELES, CA 91316
(34.153872, -118.509016)",LOS ANGELES,CA,91316,5,"Wells Fargo Bank, N.A. C/O Select Portfolio Servicing"
6055021042,1/8/2016,Single Family,"9806 S HOBART BLVD
LOS ANGELES, CA 90047
(33.946535, -118.307856)",LOS ANGELES,CA,90047,8,Penny Mac Loan Service
5432011017,1/5/2016,Single Family,"2507 N MICHELTORENA ST
LOS ANGELES, CA 90039
(34.105294, -118.26988)",LOS ANGELES,CA,90039,4,Solutionstar Field Services
2626006003,1/2/2016,Single Family,"9815 N HADDON AVE
LOS ANGELES, CA 91331
(34.248913, -118.415857)",LOS ANGELES,CA,91331,7,U.S. Bank N.A. c/o Select Portfolio Servicing
2344015009,1/2/2016,Single Family,"5431 N FULTON AVE
LOS ANGELES, CA 91401
(34.169609, -118.422519)",LOS ANGELES,CA,91401,4,Deutsche Bank National Trust Company C/O Select Portfolio Servicing
5033007011,12/20/2016,Single Family,"3954 S NORTON AVE
LOS ANGELES, CA 90008
(34.012917, -118.331798)",LOS ANGELES,CA,90008,10,Shellpoint Mortgage Services
2654007162,4/21/2016,Single Family,"8744 N BURNET AVE
LOS ANGELES, CA 91343
(34.229535, -118.463278)",LOS ANGELES,CA,91343,6,Nationstar Mortgage
5062008010,11/10/2016,Single Family,"2148 S REDONDO BLVD
LOS ANGELES, CA 90016
(34.03803, -118.354077)",LOS ANGELES,CA,90016,10,NATIONSTAR MORTGAGE LLC
4221007042,11/25/2016,Single Family,"4720 S CAMPBELL DR
LOS ANGELES, CA 90230
(33.990461, -118.418766)",LOS ANGELES,CA,90230,11,Celink
2608005016,12/6/2016,Single Family,"12660 N BRAXTON PL
LOS ANGELES, CA 91344
(34.300582, -118.507338)",LOS ANGELES,CA,91344,12,Nationstar Mortgage LLC
2609012015,7/25/2016,Single Family,"16701 W PINERIDGE DR
LOS ANGELES, CA 91344
(34.29383, -118.49584)",LOS ANGELES,CA,91344,12,Bayview Loan Servicing LLC
5021030025,11/15/2016,Single Family,"1724 W 41ST DR
LOS ANGELES, CA 90062
(34.009039, -118.309933)",LOS ANGELES,CA,90062,8,Bank of America
5062020019,2/3/2016,Multi-Family,"2110 1/2 S HIGHLAND AVE
LOS ANGELES, CA 90016
(34.037682, -118.347668)",LOS ANGELES,CA,90016,10,Selene Finance LP
6023024019,3/22/2016,Single Family,"649 E 77TH ST
LOS ANGELES, CA 90001
(33.969352, -118.263277)",LOS ANGELES,CA,90001,9,"Financial Freedom, a division of CIT bank."
2544021012,8/12/2016,Multi-Family,"10205 LA TUNA CANYON RD
LOS ANGELES, CA 91352
(34.23412, -118.353034)",LOS ANGELES,CA,91352,7,Bank of New York Mellon c/o Select Portfolio Servicing
5216010027,12/30/2016,Single Family,"2579 N LOMBARDY BLVD
LOS ANGELES, CA 90032
(34.076493, -118.176089)",LOS ANGELES,CA,90032,14,"US Bank, N.A., as Trustee, c/o Select Portfolio Servicing"
4255018012,10/26/2016,Single Family,"2708 S SELBY AVE
LOS ANGELES, CA 90064
(34.036491, -118.42203)",LOS ANGELES,CA,90064,5,DITECH FINANCIAL LLC
2688029068,1/21/2016,Single Family,"16815 W PARTHENIA ST
LOS ANGELES, CA 91343
(34.228475, -118.498587)",LOS ANGELES,CA,91343,12,Nationstar Mortgage
2604010021,10/10/2016,Single Family,"15736 W LARKSPUR ST
LOS ANGELES, CA 91342
(34.306448, -118.473858)",LOS ANGELES,CA,91342,7,JP Morgan Chase NA
2026010004,3/28/2016,Single Family,"23018 W HARTLAND ST
LOS ANGELES, CA 91307
(34.194627, -118.629055)",LOS ANGELES,CA,91307,12,JP Morgan Chase NA
6018014015,3/29/2016,Single Family,"7532 S HARVARD BLVD
LOS ANGELES, CA 90047
(33.971079, -118.306805)",LOS ANGELES,CA,90047,8,"Financial Freedom, a division of CIT bank."
5066020019,1/11/2016,Single Family,"1829 S ORANGE GROVE AVE
LOS ANGELES, CA 90019
(34.04214, -118.368472)",LOS ANGELES,CA,90019,10,Nationstar Mortgage LLC
2125023006,1/29/2016,Single Family,"18159 W KITTRIDGE ST
LOS ANGELES, CA 91335
(34.190233, -118.529372)",LOS ANGELES,CA,91335,3,Carrington Mortgage Services LLC
2649004047,12/18/2016,Single Family,"15060 W CHATSWORTH ST
LOS ANGELES, CA 91345
(34.26453, -118.461051)",LOS ANGELES,CA,91345,7,"Ocwen Loan Servicing, LLC"
5143019079,11/17/2016,Single Family,"1226 W WILSHIRE BLVD
LOS ANGELES, CA 90017
(34.053433, -118.265763)",LOS ANGELES,CA,90017,1,Nationstar Mortgage
6051002016,11/21/2016,Single Family,"707 E 104TH ST
LOS ANGELES, CA 90002
(33.941916, -118.262667)",LOS ANGELES,CA,90002,8,"PennyMac Loan Services, LLC"
5111018007,1/13/2016,Single Family,"244 W 41ST PL
LOS ANGELES, CA 90037
(34.008188, -118.277209)",LOS ANGELES,CA,90037,9,DITECH FINANCIAL LLC
6032010027,1/13/2016,Multi-Family,"849 W 84TH ST
LOS ANGELES, CA 90044
(33.962447, -118.28819)",LOS ANGELES,CA,90044,8,"Ocwen Loan Servicing, LLC"
2424002021,12/16/2016,Single Family,"4427 N STROHM AVE
LOS ANGELES, CA 91602
(34.151217, -118.359291)",LOS ANGELES,CA,91602,4,U.S. Bank NA c/o Select Portfolio Servicing
7420020021,10/13/2016,Multi-Family,"1131 N MARINE AVE
WILMINGTON, CA 90744
(33.785659, -118.264192)",WILMINGTON,CA,90744,15,"Trinity Financial Services, LLC"
6019001004,10/27/2016,Multi-Family,"1314 W FLORENCE AVE
LOS ANGELES, CA 90044
(33.974586, -118.298726)",LOS ANGELES,CA,90044,8,Bank of America
6016009016,10/7/2016,Single Family,"1903 W 65TH PL
LOS ANGELES, CA 90047
(33.979815, -118.311352)",LOS ANGELES,CA,90047,8,Statebridge Company LLC
2116015011,11/23/2016,Single Family,"19343 W COHASSET ST
LOS ANGELES, CA 91335
(34.206546, -118.555113)",LOS ANGELES,CA,91335,3,Nationstar Mortgage
2167019034,1/4/2016,Single Family,"5188 N ESCOBEDO DR
LOS ANGELES, CA 91364
(34.163725, -118.592615)",LOS ANGELES,CA,91364,3,U.S. Bank N.A.
2634026015,7/7/2016,Single Family,"13212 W COMMUNITY ST
LOS ANGELES, CA 91352
(34.223236, -118.420759)",LOS ANGELES,CA,91352,6,Celink
2681005012,12/1/2016,Single Family,"11450 N SOPHIA AVE
LOS ANGELES, CA 91344
(34.278777, -118.487973)",LOS ANGELES,CA,91344,12,Specialized Loan Servicing as Servicing Agent for Beneficiary
7442030111,1/29/2016,Single Family,"1737 W WESTMONT DR
LOS ANGELES, CA 90732
(33.762795, -118.309989)",LOS ANGELES,CA,90732,15,JP Morgan Chase NA
2235019043,11/2/2016,Single Family,"15056 W HAMLIN ST
VAN NUYS, CA 91411
(34.188665, -118.461061)",VAN NUYS,CA,91411,6,Jerome L. Dodson Revocable Trust of 2012
2766013030,11/14/2016,Single Family,"17330 W PRAIRIE ST
LOS ANGELES, CA 91325
(34.239449, -118.512356)",LOS ANGELES,CA,91325,12,Mor Financial Services
5422009012,11/15/2016,Non-Residential,"0, CA 0",,CA,0,13,Allstar Financial Services Inc
6033021037,10/12/2016,Single Family,"8021 S VERMONT AVE
LOS ANGELES, CA 90044
(33.966609, -118.291845)",LOS ANGELES,CA,90044,8,"Financial Freedom, a division of CIT bank."
4235012043,1/14/2016,Single Family,"12515 W PACIFIC AVE
LOS ANGELES, CA 90066
(34.001637, -118.434992)",LOS ANGELES,CA,90066,11,"Deutsche Bank, as Trustee, c/o Select Portfolio Servicing"
2660019001,3/21/2016,Single Family,"15058 W TUBA ST
LOS ANGELES, CA 91345
(34.256323, -118.460732)",LOS ANGELES,CA,91345,7,AMS-SENECA MORTGAGE SERVICING LLC
4325016012,7/28/2016,Single Family,"10856 W ROCHESTER AVE
LOS ANGELES, CA 90024
(34.056443, -118.441155)",LOS ANGELES,CA,90024,5,JP Morgan Chase NA
5016027002,10/31/2016,Single Family,"1606 W 49TH ST
LOS ANGELES, CA 90062
(33.999137, -118.307072)",LOS ANGELES,CA,90062,8,Caliber Home Loans
2129021122,1/4/2016,Single Family,"18951 KITTRIDGE
RESEDA, CA 91335
(34.190216, -118.545945)",RESEDA,CA,91335,3,Solutionstar Field Services
2618022029,10/25/2016,Single Family,"13700 W MERCER ST
LOS ANGELES, CA 91331
(34.261874, -118.431282)",LOS ANGELES,CA,91331,7,Bank of America
5405004003,1/4/2016,Single Family,"1466 W ALLISON AVE
LOS ANGELES, CA 90026
(34.074456, -118.25469)",LOS ANGELES,CA,90026,1,U.S. Bank N.A.
5111011026,11/28/2016,Single Family,"143 W VERNON AVE
LOS ANGELES, CA 90037
(34.003816, -118.275056)",LOS ANGELES,CA,90037,9,Nationstar Mortgage
2745002116,3/2/2016,Single Family,"10141 N NEVADA AVE
LOS ANGELES, CA 91311
(34.25483, -118.609528)",LOS ANGELES,CA,91311,12,Solutionstar Field Services
5025008097,1/29/2016,Single Family,"5442 1/2 W VILLAGE GRN
LOS ANGELES, CA 90016
(34.021352, -118.361695)",LOS ANGELES,CA,90016,10,"Financial Freedom, a division of CIT bank."
7451026017,1/21/2016,Multi-Family,"666 A W 5TH ST
SAN PEDRO, CA 90731
(33.739679, -118.291606)",SAN PEDRO,CA,90731,15,Nationstar Mortgage
5070016014,1/20/2016,Single Family,"1454 S REDONDO BLVD
LOS ANGELES, CA 90019
(34.046491, -118.349877)",LOS ANGELES,CA,90019,10,Bank of America
2662012002,1/4/2016,Single Family,"11042 N HASKELL AVE
LOS ANGELES, CA 91344",LOS ANGELES,CA,91344,12,DOWNEY SAVINGS & LOAN
5074005015,8/10/2016,Single Family,"1325 S HARVARD BLVD
LOS ANGELES, CA 90006
(34.046401, -118.304152)",LOS ANGELES,CA,90006,10,CIT
2258026059,12/24/2016,Single Family,"5229 N BALBOA BLVD
ENCINO, CA 91356
(34.165983, -118.501091)",ENCINO,CA,91356,5,Deutsche Bank c/o Select Portfolio Servicing
6058004024,12/1/2016,Single Family,"10038 S RUTHELEN ST
LOS ANGELES, CA 90047
(33.944213, -118.312296)",LOS ANGELES,CA,90047,8,Specialized Loan Servicing as Servicing Agent for Beneficiary
2580019067,3/3/2016,Single Family,"13151 N MIRA MAR DR
LOS ANGELES, CA 91342
(34.311735, -118.405176)",LOS ANGELES,CA,91342,7,Nationstar Mortgage
4255018012,6/4/2016,Single Family,"2708 S SELBY AVE
LOS ANGELES, CA 90064
(34.036491, -118.42203)",LOS ANGELES,CA,90064,5,DITECH FINANCIAL LLC
2355006023,1/21/2016,Multi-Family,"11854 W MAGNOLIA BLVD
LOS ANGELES, CA 91607
(34.1649, -118.391955)",LOS ANGELES,CA,91607,2,Nationstar Mortgage
6061008016,7/25/2016,Single Family,"735 W 109TH ST
LOS ANGELES, CA 90044
(33.937329, -118.28828)",LOS ANGELES,CA,90044,8,"Financial Freedom, a division of CIT bank."
4410011040,8/12/2016,Single Family,"207 N ENTRADA DR
LOS ANGELES, CA 90402
(34.028831, -118.51717)",LOS ANGELES,CA,90402,11,U.S. Bank NA c/o Select Portfolio Servicing
4316022002,1/15/2016,Single Family,"3389 S MANNING CT
LOS ANGELES, CA 90064
(34.030931, -118.404495)",LOS ANGELES,CA,90064,5,Nationstar Mortgage
6073015009,1/5/2016,Single Family,"228 E 110TH ST
LOS ANGELES, CA 90061
(33.935671, -118.270655)",LOS ANGELES,CA,90061,8,"Financial Freedom, a division of CIT bank."
4252028062,10/21/2016,Single Family,"3637 S GLENDON AVE 1-16
LOS ANGELES, CA 90034
(34.020677, -118.411146)",LOS ANGELES,CA,90034,5,ARMAN PEZESHKIFAR
2745014050,5/26/2016,Single Family,"9927 N NEVADA AVE
LOS ANGELES, CA 91311
(34.250832, -118.609354)",LOS ANGELES,CA,91311,12,c/o Select Portfolio Servicing
2103005030,12/23/2016,Single Family,"8238 N AMIGO AVE
LOS ANGELES, CA 91335
(34.220409, -118.538789)",LOS ANGELES,CA,91335,12,Carrington Mortgage Services
2026004006,11/2/2016,Single Family,"7125 N MCLAREN AVE
LOS ANGELES, CA 91307
(34.200024, -118.624569)",LOS ANGELES,CA,91307,12,Wells Fargo Bank N.A.
4295007058,1/4/2016,Single Family,"143 E UNION JACK MALL
LOS ANGELES, CA 90292
(33.968876, -118.45567)",LOS ANGELES,CA,90292,11,"U.S. Bank,  N.A. C/O Select Portfolio Servicing"
2110005011,5/6/2016,Single Family,"21621 W ARMINTA ST
LOS ANGELES, CA 93063",LOS ANGELES,CA,93063,3,Nationstar Mortgage LLC
2024041014,12/22/2016,Single Family,"7030 N SAUSALITO AVE
LOS ANGELES, CA 91307
(34.198676, -118.616313)",LOS ANGELES,CA,91307,12,Nationstar Mortgage LLC
2701005234,10/21/2016,Single Family,"19547 RINALDI
LOS ANGELES, CA 91326
(34.274588, -118.557854)",LOS ANGELES,CA,91326,12,"Financial Freedom, a division of CIT bank."
2204031007,10/31/2016,Single Family,"8160 N PASO ROBLES AVE
LOS ANGELES, CA 91406
(34.218851, -118.503147)",LOS ANGELES,CA,91406,6,"Financial Freedom, a division of CIT bank."
2502016024,11/2/2016,Single Family,"13782 N SPROULE AVE
LOS ANGELES, CA 91342
(34.322178, -118.458045)",LOS ANGELES,CA,91342,7,"Ocwen Loan Servicing, LLC"
2692012018,12/1/2016,Single Family,"17115 W LABRADOR ST
LOS ANGELES, CA 91325",LOS ANGELES,CA,91325,12,Specialized Loan Servicing as Servicing Agent for Beneficiary
6120011050,10/8/2016,Single Family,"636 W 157TH ST
LOS ANGELES, CA 90247
(33.889002, -118.28632)",LOS ANGELES,CA,90247,15,"Bayview Loan Servicing, LLC"
2242014023,1/6/2016,Single Family,"6260 N COLUMBUS AVE
VAN NUYS, CA 91411
(34.184348, -118.464003)",VAN NUYS,CA,91411,6,Solutionstar Field Services
5063002025,12/7/2016,Multi-Family,"5222 1/2 W 20TH ST
LOS ANGELES, CA 90016
(34.040447, -118.355188)",LOS ANGELES,CA,90016,10,FAY Servicing LLC
2348003003,1/4/2016,Single Family,"5542 N RADFORD AVE
LOS ANGELES, CA 91607
(34.171645, -118.392137)",LOS ANGELES,CA,91607,2,"HSBC Bank USA, N.A., c/o Select Portfolio Servicing"
6054016019,10/28/2016,Single Family,"551 W 103RD ST
LOS ANGELES, CA 90044
(33.943066, -118.284487)",LOS ANGELES,CA,90044,8,CIT Bank
5518019019,1/4/2016,Single Family,"153 N CATALINA ST
LOS ANGELES, CA 90004
(34.074233, -118.295437)",LOS ANGELES,CA,90004,13,Solutionstar Field Services
6023020020,3/25/2016,Multi-Family,"1017 E 76TH PL
LOS ANGELES, CA 90001
(33.970285, -118.257307)",LOS ANGELES,CA,90001,9,Specialized Loan Servicing LLC
2021016007,1/5/2016,Single Family,"22824 W COHASSET ST
LOS ANGELES, CA 91307
(34.205723, -118.624441)",LOS ANGELES,CA,91307,12,JP Morgan Chase NA
2373024006,12/7/2016,Single Family,"13546 W CONTOUR DR
LOS ANGELES, CA 91423
(34.143255, -118.428447)",LOS ANGELES,CA,91423,4,"Caliber Home Loans, Inc."
5536013012,1/29/2016,Multi-Family,"5706 W VIRGINIA AVE
HOLLYWOOD, CA 90038
(34.091791, -118.313912)",HOLLYWOOD,CA,90038,13,Wells Fargo Bank N.A.
5480016008,4/15/2016,Multi-Family,"1154 W OAK GROVE DR
LOS ANGELES, CA 90041
(34.131997, -118.19231)",LOS ANGELES,CA,90041,14,PennyMac
7425026027,11/14/2016,Single Family,"1619 E ROBIDOUX ST
LOS ANGELES, CA 90744
(33.788233, -118.243157)",LOS ANGELES,CA,90744,15,Bank of America
2032019025,1/13/2016,Single Family,"6043 N MAURY AVE
LOS ANGELES, CA 91367
(34.180704, -118.660919)",LOS ANGELES,CA,91367,3,Capital One
2163023013,11/14/2016,Single Family,"19052 W SANTA RITA ST
LOS ANGELES, CA 91356
(34.167668, -118.548429)",LOS ANGELES,CA,91356,3,JP Morgan Chase NA
5430006038,10/20/2016,Single Family,"3983 W CLAYTON AVE
LOS ANGELES, CA 90027
(34.100097, -118.278068)",LOS ANGELES,CA,90027,4,Mor Financial Services
6003023024,4/1/2016,Single Family,"1039 W 62ND ST
LOS ANGELES, CA 90044
(33.983241, -118.292934)",LOS ANGELES,CA,90044,9,Carrington Mortgage Services LLC
5454029009,1/15/2016,Multi-Family,"3116 E CHAUCER ST
LOS ANGELES, CA 90065
(34.098016, -118.228954)",LOS ANGELES,CA,90065,1,Nationstar Mortgage
2672014001,1/4/2016,Single Family,"15915 W BAHAMA ST
LOS ANGELES, CA 91343
(34.232908, -118.479074)",LOS ANGELES,CA,91343,12,"U.S. Bank NA, C/O Select Portfolio Servicing"
5223010007,5/23/2016,Single Family,"1915 N SEIGNEUR AVE
LOS ANGELES, CA 90032
(34.064694, -118.177733)",LOS ANGELES,CA,90032,14,Bank of America
2274003005,1/28/2016,Single Family,"3952 N BEVERLY GLEN BLVD
LOS ANGELES, CA 91423",LOS ANGELES,CA,91423,4,JP Morgan Chase NA
2346002108,11/7/2016,Single Family,"12830 W BURBANK BLVD
NORTH HOLLYWOOD, CA 91607
(34.172093, -118.412683)",NORTH HOLLYWOOD,CA,91607,2,Ditech Financial LLC
7445014051,10/3/2016,Single Family,"1322 N NATCHEZ PL
SAN PEDRO, CA 90731
(33.756237, -118.297535)",SAN PEDRO,CA,90731,15,Bank of America
2274028002,1/2/2016,Single Family,"4050 N CAMINO DE LA CUMBRE
LOS ANGELES, CA 91423
(34.143845, -118.44301)",LOS ANGELES,CA,91423,4,"Wells Fargo Bank, N.A. C/O Select Portfolio Servicing"
2651001148,1/4/2016,Single Family,"15007 W NORDHOFF ST
LOS ANGELES, CA 91343
(34.235475, -118.459092)",LOS ANGELES,CA,91343,7,"Wells Fargo Bank, NA, c/o Select Portfolio Servicing"
2115011028,11/14/2016,Single Family,"19839 W LEADWELL ST
LOS ANGELES, CA 91306
(34.203964, -118.565582)",LOS ANGELES,CA,91306,3,Caliber Home Loans
2347019012,11/21/2016,Single Family,"5240 N VANTAGE AVE
LOS ANGELES, CA 91607
(34.166119, -118.398132)",LOS ANGELES,CA,91607,2,"Ocwen Loan Servicing, LLC"
6055003014,4/18/2016,Single Family,"9464 S LA SALLE AVE
LOS ANGELES, CA 90047
(33.94915, -118.305729)",LOS ANGELES,CA,90047,8,"Financial Freedom, a division of CIT bank."
2121026019,12/1/2016,Single Family,"7050 N BERTRAND AVE
LOS ANGELES, CA 91335
(34.198972, -118.524355)",LOS ANGELES,CA,91335,3,Specialized Loan Servicing as Servicing Agent for Beneficiary
4007004009,11/9/2016,Single Family,"6035 S 3RD AVE
LOS ANGELES, CA 90043
(33.984465, -118.320609)",LOS ANGELES,CA,90043,8,Ditech Financial LLC
6088024004,1/2/2016,Single Family,"636 W 118TH ST
LOS ANGELES, CA 90044
(33.92614, -118.286116)",LOS ANGELES,CA,90044,15,Deutsche Bank c/o Select Portfolio Servicing
7351009042,10/21/2016,Single Family,"1611 W 208TH ST 1-4
LOS ANGELES, CA 90501
(33.841887, -118.307091)",LOS ANGELES,CA,90501,15,Wells Fargo Bank N.A.
2108028010,1/6/2016,Single Family,"7872 N GAZETTE AVE
LOS ANGELES, CA 91306
(34.21408, -118.587139)",LOS ANGELES,CA,91306,3,JP Morgan Chase NA
