APN,Registered Date,Property Type,Property Address,Property City,Property State,Property Zip,Council District,Lender,,,,,,,
2316002030,1/4/2018,Single Family,11622 W KESWICK ST,LOS ANGELES,CA,91605,6,"Ocwen Loan Servicing, LLC",,,,,,,
6055024041,1/18/2018,Single Family,9470 S HOBART BLVD,LOS ANGELES,CA,90047,8,Federal National Mortgage Association,,,,,,,
4256023027,5/25/2018,Single Family,2568 S MILITARY AVE,LOS ANGELES,CA,90064,5,Shellpoint Mortgage,,,,,,,
7559031001,1/2/2018,Single Family,635 S BYNNER DR,SAN PEDRO,CA,90732,15,US Bank National Association,,,,,,,
7420012008,10/25/2018,Single Family,1240 N RAVENNA AVE,LOS ANGELES,CA,90744,15,LAKEVIEW LOAN SERVICING,,,,,,,
5058021019,12/11/2018,Multi-Family,1871 W 25TH ST,LOS ANGELES,CA,90018,8,Mr. Cooper,,,,,,,
5588029022,1/1/2018,Single Family,2651 N ABERDEEN AVE,LOS ANGELES,CA,90027,4,"Wilmington Trust, NA, successor trustee to Citibank, c/o Select Portfolio Servicing",,,,,,,
2566004026,11/30/2018,Vacant Residential,7129 W HILLROSE ST,LOS ANGELES,CA,91042,7,"BAYVIEW LOAN SERVICING, LLC",,,,,,,
2726015013,10/29/2018,Single Family,19501 W ROMAR ST,LOS ANGELES,CA,91324,12,CitiMortgage,,,,,,,
5690017008,11/24/2018,Multi-Family,1445  YOSEMITE DR,LOS ANGELES,CA,90041,14,COSIS LLC,,,,,,,
2615028026,1/1/2018,Single Family,14325 W TORI CT,LOS ANGELES,CA,91345,7,"U.S. Bank, N.A., C/O Select Portfolio Servicing",,,,,,,
2175024025,12/18/2018,Single Family,4868 N ADELE CT,LOS ANGELES,CA,91364,3,Mr. Cooper,,,,,,,
5443006026,1/11/2018,Single Family,1916 W WHITMORE AVE,LOS ANGELES,CA,90039,13,CALIBER HOME LOANS,,,,,,,
6088023017,12/20/2018,Single Family,11846 S ORCHARD AVE,LOS ANGELES,CA,90044,15,Fay Servicing,,,,,,,
5525012006,1/2/2018,Multi-Family,727 N ALTA VISTA BLVD,LOS ANGELES,CA,90046,5,"Ocwen Loan Servicing, LLC",,,,,,,
2613024025,11/27/2018,Single Family,11221 N AMBOY AVE,LOS ANGELES,CA,91340,7,Shellpoint Mortgage Servicing,,,,,,,
2694007022,4/30/2018,Single Family,17169 W STARE ST,LOS ANGELES,CA,91325,12,Wells Fargo Bank N.A.,,,,,,,
5585027017,1/8/2018,Single Family,6242 W TEMPLE HILL DR,LOS ANGELES,CA,90068,4,US Bank National Association,,,,,,,
2616022012,1/1/2018,Single Family,11163 N TELFAIR AVE,LOS ANGELES,CA,91331,7,"HSBC Bank USA, c/o SELECT PORTFOLIO SERVICING",,,,,,,
2040009004,6/13/2018,Single Family,22647 W BURBANK BLVD,LOS ANGELES,CA,91367,3,US Bank NA C/O Select Portfolio Servicing,,,,,,,
6033004037,7/17/2018,Single Family,1301 W 84TH ST,LOS ANGELES,CA,90044,8,Shellpoint Mortgage Servicing,,,,,,,
2354008036,1/1/2018,Single Family,4702 N KRAFT AVE,LOS ANGELES,CA,91602,2,"HSBC Bank USA, c/o SELECT PORTFOLIO SERVICING",,,,,,,
5561007010,11/19/2018,Single Family,9211 W NIGHTINGALE DR,HOLLYWOOD,CA,90069,4,"D&A International Investment Group, LLC",,,,,,,
4019006027,1/11/2018,Single Family,4235 W 59TH ST,LOS ANGELES,CA,90043,8,DITECH FINANCIAL LLC,,,,,,,
4125013135,1/15/2018,Single Family,8620 S BELFORD AVE A-F,LOS ANGELES,CA,90045,11,SELENE FINANCE LP,,,,,,,
6050006023,12/7/2018,Single Family,831 E 94TH ST,LOS ANGELES,CA,90002,9,CENLAR MORTGAGE FSB,,,,,,,
2504001025,1/9/2018,Single Family,13375 N PHILLIPPI AVE,LOS ANGELES,CA,91342,7,Wells Fargo Bank N.A.,,,,,,,
6119012061,6/15/2018,Single Family,14703 S DENVER AVE,LOS ANGELES,CA,90248,15,Wells Fargo Bank N.A C/O Select Portfolio Servicing,,,,,,,
5671011011,11/29/2018,Single Family,5243 N NORTH MAYWOOD AVE,LOS ANGELES,CA,90041,14,Mr. Cooper,,,,,,,
2747014147,11/13/2018,Single Family,10000 N OWENSMOUTH AVE,LOS ANGELES,CA,91311,12,Mr. Cooper,,,,,,,
4236005001,11/13/2018,Multi-Family,2415 S GLYNDON AVE,VENICE,CA,90291,11,"Easy Realty and Loans Inc, a California corporation, Beneficiary",,,,,,,
2076012046,7/6/2018,Single Family,4510 N STARK AVE,LOS ANGELES,CA,91364,3,"U.S. Bank N.A., c/o Select Portfolio Servicing",,,,,,,
5558021017,11/29/2018,Single Family,1713 N QUEENS CT,LOS ANGELES,CA,90069,4,Mr. Cooper,,,,,,,
2601028035,9/24/2018,Single Family,12006 N HIGHWATER ROAD,LOS ANGELES,CA,91344,12,"Wilmington Trust, NA, successor trustee to Citibank, c/o Select Portfolio Servicing",,,,,,,
2038027030,11/6/2018,Single Family,6701 N SALE AVE,LOS ANGELES,CA,91307,12,BANK OF AMERICA,,,,,,,
2701068047,11/29/2018,Single Family,11407 N SANTINI LANE,LOS ANGELES,CA,91326,12,Mr. Cooper,,,,,,,
6023012011,7/11/2018,Single Family,1000 E 74TH ST,LOS ANGELES,CA,90001,9,U.S. Bank N.A. C/O Select Portfolio Servicing,,,,,,,
7562015008,1/1/2018,Single Family,1642 W 22ND ST,SAN PEDRO,CA,90732,15,Bank of New York Mellon C/O Select Portfolio Servicing,,,,,,,
2647028096,1/1/2018,Single Family,14333 W VAN NUYS BLVD,LOS ANGELES,CA,91331,6,Deutsche Bank C/O Select Portfolio Servicing,,,,,,,
2423030052,10/25/2018,Single Family,10650 W CHIQUITA ST,LOS ANGELES,CA,91602,2,Kenny Lim,,,,,,,
2510020035,6/2/2018,Single Family,13463 W HUBBARD ST,LOS ANGELES,CA,91342,7,Bayview,,,,,,,
5442019030,1/5/2018,Single Family,2758 N DENBY AVE,LOS ANGELES,CA,90039,13,Wells Fargo Bank N.A.,,,,,,,
2245016003,12/26/2018,Single Family,14348 W TIARA ST,VAN NUYS,CA,91401,4,CitiMortgage,,,,,,,
5216007005,6/21/2018,Multi-Family,2412 N EASTERN AVE,LOS ANGELES,CA,90032,14,RUSHMORE LOAN MANAGEMENT SERVICES,,,,,,,
2701052058,1/1/2018,Single Family,20628 W COMO LANE,LOS ANGELES,CA,91326,12,"Wells Fargo Bank, N.A C/O Select Portfolio Servicing",,,,,,,
2332002010,4/20/2018,Single Family,12818 W FRIAR ST,LOS ANGELES,CA,91606,2,Fay Servicing LLC - Eric Moore,,,,,,,
2667026005,1/2/2018,Single Family,16058 W LOS ALIMOS ST,LOS ANGELES,CA,91344,12,Wells Fargo Bank N.A.,,,,,,,
4228011014,5/25/2018,Single Family,2425 S CLOY AVE,LOS ANGELES,CA,90291,11,Shellpoint Mortgage,,,,,,,
5058018003,11/9/2018,Multi-Family,2301 S LA SALLE AVE,LOS ANGELES,CA,90018,8,Finance Holding Company,,,,,,,
2159006001,9/18/2018,Single Family,18029 W BURBANK BLVD,LOS ANGELES,CA,91316,5,"U.S. Bank N.A., c/o Select Portfolio Servicing",,,,,,,
5524002028,11/12/2018,Multi-Family,806 N MANSFIELD AVE,LOS ANGELES,CA,90038,5,PHH Mortgage Corporation,,,,,,,
5174020025,10/30/2018,Single Family,1405 E WARREN ST,LOS ANGELES,CA,90033,14,SUPERIOR LOAN SERVICING,,,,,,,
2429004015,11/19/2018,Single Family,7241 W WOODROW WILSON DR,LOS ANGELES,CA,90068,4,"D. Benz, LLC",,,,,,,
2769013003,5/24/2018,Single Family,18215 W RAYEN ST,LOS ANGELES,CA,91325,12,Shellpoint Mortgage,,,,,,,
5104026012,1/8/2018,Single Family,1224 E 57TH ST,LOS ANGELES,CA,90011,9,Shellpoint Mortgage Servicing,,,,,,,
6039001052,5/24/2018,Multi-Family,9113 #3 S BARING CROSS ST 1-3,,CA,,8,Shellpoint Mortgage,,,,,,,
5083002015,1/1/2018,Multi-Family,1077 S RIMPAU BLVD,LOS ANGELES,CA,90019,10,"U.S. Bank N.A., c/o Select Portfolio Servicing",,,,,,,
2404018012,10/31/2018,Single Family,8278 N GLENCREST DR,LOS ANGELES,CA,91352,2,"Ocwen Loan Servicing, LLC",,,,,,,
7416027010,11/28/2018,Single Family,620 N NEPTUNE AVE,LOS ANGELES,CA,90744,15,Mr. Cooper,,,,,,,
4416019032,10/19/2018,Single Family,550 N PASEO MIRAMAR,LOS ANGELES,CA,90272,11,JP Morgan Chase NA,,,,,,,
5124013015,1/3/2018,Multi-Family,917 W 23RD ST,LOS ANGELES,CA,90007,1,"Ocwen Loan Servicing, LLC",,,,,,,
5070008014,1/2/2018,Multi-Family,1270 S MEADOWBROOK AVE,LOS ANGELES,CA,90019,10,US Bank National Association,,,,,,,
5404010005,1/1/2018,Multi-Family,1718 W CLINTON ST,LOS ANGELES,CA,90026,13,Citibank NA C/O Select Portfolio Servicing,,,,,,,
2686012001,12/5/2018,Single Family,9503 N HAYVENHURST AVE,LOS ANGELES,CA,91343,12,"First American Trustee Servicing Solutions, First Entertainment",,,,,,,
2689021020,1/2/2018,Single Family,16649 W NAPA ST,LOS ANGELES,CA,91343,12,Specialized Loan Servicing LLC,,,,,,,
2560020018,12/10/2018,Single Family,10230 N RUSSETT AVE,LOS ANGELES,CA,91040,7,Citadel Servicing Corporation,,,,,,,
2125030034,10/5/2018,Single Family,6847 N GARDEN GROVE AVE,LOS ANGELES,CA,91335,3,Carrington Mortgage Services,,,,,,,
5075029008,1/23/2018,Single Family,1858 1/2 W CORDOVA ST,LOS ANGELES,CA,90007,1,"Fay Servicing, LLC",,,,,,,
5586010009,1/12/2018,Multi-Family,6042 W GRACIOSA DR,LOS ANGELES,CA,90068,4,Nationstar Mortgage,,,,,,,
5467002009,12/3/2018,Multi-Family,144 E AVENUE 42,LOS ANGELES,CA,90031,1,Shellpoint Mortgage Servicing,,,,,,,
5018030032,10/10/2018,Multi-Family,637 W 46TH ST,LOS ANGELES,CA,90037,9,BANK OF AMERICA,,,,,,,
2163016017,10/22/2018,Single Family,19255 W REDWING ST,LOS ANGELES,CA,91356,3,First National Funding corp,,,,,,,
5186008027,10/16/2018,Multi-Family,522 S BERNAL AVE,LOS ANGELES,CA,90063,14,"U.S. Bank N.A., c/o Select Portfolio Servicing",,,,,,,
4302025006,1/1/2018,Single Family,1924 S SHERBOURNE DR,LOS ANGELES,CA,90034,10,"Deutsche Bank National Trust, c/o Select Portfolio Servicing",,,,,,,
7448027034,1/10/2018,Single Family,563 W BONITA ST,SAN PEDRO,CA,90731,15,Bank of America,,,,,,,
2278005004,5/25/2018,Single Family,15036 W MARBLE DR,LOS ANGELES,CA,91403,4,Shellpoint Mortgage,,,,,,,
2726011023,1/1/2018,Single Family,10014 N MELVIN AVE,LOS ANGELES,CA,91324,12,"U.S. Bank, N.A., C/O Select Portfolio Servicing",,,,,,,
2669018022,10/29/2018,Single Family,10028 N GAYNOR AVE,LOS ANGELES,CA,91343,12,LAKEVIEW LOAN SERVICING,,,,,,,
2128002217,10/29/2018,Single Family,19201  HAYNES,LOS ANGELES,CA,91335,3,U.S. Bank NA as Trustee for LSF9 Master Participation Trust,,,,,,,
4423012023,1/15/2018,Single Family,1027 N HARTZELL ST,LOS ANGELES,CA,90272,11,Shellpoint Mortgage Servicing,,,,,,,
5583013014,1/1/2018,Single Family,2754 N WOODHAVEN DR,LOS ANGELES,CA,90068,4,"Wilmington Trust, NA, successor trustee to Citibank, c/o Select Portfolio Servicing",,,,,,,
2326023003,1/5/2018,Single Family,6484 N LONGRIDGE AVE,LOS ANGELES,CA,91401,2,Wells Fargo Bank N.A.,,,,,,,
6014012025,1/1/2018,Single Family,1033 W 66TH ST,LOS ANGELES,CA,90044,8,"Deutsche Bank, c/o Select Portfolio Servicing",,,,,,,
2156028147,1/22/2018,Single Family,18550  HATTERAS,,CA,,3,"Ocwen Loan Servicing, LLC",,,,,,,
5016010005,5/25/2018,Single Family,4527 S NORMANDIE AVE,LOS ANGELES,CA,90037,8,Shellpoint Mortgage,,,,,,,
5570024032,10/9/2018,Single Family,2830 N FIRENZE PL,LOS ANGELES,CA,90046,4,BANK OF AMERICA,,,,,,,
5209026009,12/5/2018,Single Family,2602 N ONYX DR,LOS ANGELES,CA,90032,14,Mr. Cooper,,,,,,,
2649017011,1/10/2018,Single Family,10443 N PEACH AVE,LOS ANGELES,CA,91345,7,Deutsche Bank C/O Select Portfolio Servicing,,,,,,,
6055009049,12/27/2018,Single Family,1448 W 94TH PL,LOS ANGELES,CA,90047,8,RUSHMORE LOAN MANAGEMENT SERVICES,,,,,,,
6048038011,10/27/2018,Multi-Family,9805 S WILMINGTON AVE,LOS ANGELES,CA,90002,15,AJA CAPITAL INVESTMENTS LLC,,,,,,,
2531025021,10/9/2018,Single Family,11871 N VANPORT AVE,LOS ANGELES,CA,91342,7,"Nationstar Mortgage, dba Mr. Cooper",,,,,,,
6088017009,1/12/2018,Single Family,616 W 117TH ST,LOS ANGELES,CA,90044,15,Wells Fargo Bank N.A.,,,,,,,
2178005086,1/2/2018,Single Family,4279 N ELLENITA AVE,LOS ANGELES,CA,91356,3,US Bank National Association,,,,,,,
5003028023,1/5/2018,Single Family,1710 W 56TH ST,LOS ANGELES,CA,90062,8,Wells Fargo Bank N.A.,,,,,,,
5716027009,1/10/2018,Single Family,539 N AVENUE 67,LOS ANGELES,CA,90042,14,Select Portfolio Servicing,,,,,,,
2764017039,1/1/2018,Single Family,18125 W HERBOLD ST,LOS ANGELES,CA,91325,12,"Wells Fargo Bank, NA, c/o Select Portfolio Servicing",,,,,,,
2278026002,1/1/2018,Single Family,3809 N CODY RD,LOS ANGELES,CA,91403,4,Bank of New York Mellon c/o Select Portfolio Servicing,,,,,,,
2010006025,1/2/2018,Single Family,22046 W BAHAMA ST,,CA,,12,"Fay Servicing, LLC",,,,,,,
2428023005,1/1/2018,Single Family,6919 W PACIFIC VIEW DR,LOS ANGELES,CA,90068,4,"U.S. Bank N.A., c/o Select Portfolio Servicing",,,,,,,
5063007085,1/1/2018,Single Family,2329 S HAUSER AVE,,CA,,10,"U.S. Bank, N.A., C/O Select Portfolio Servicing",,,,,,,
5113009007,1/31/2018,Multi-Family,364 E 42ND PL,LOS ANGELES,CA,90011,9,Wilmington Trust NA C/O Select Portfolio Servicing,,,,,,,
7462005022,10/10/2018,Single Family,652 W 18TH ST,SAN PEDRO,CA,90731,15,Cenlar FSB,,,,,,,
7451017007,1/1/2018,Single Family,557 W 2ND ST,SAN PEDRO,CA,90731,15,"U.S. Bank N.A., c/o Select Portfolio Servicing",,,,,,,
2184031007,1/1/2018,Single Family,4221 N GRIMES PL,LOS ANGELES,CA,91316,5,"U.S. Bank, N.A., C/O Select Portfolio Servicing",,,,,,,
2673003044,12/12/2018,Single Family,8545 N GLORIA AVE,LOS ANGELES,CA,91343,12,Mr. Cooper,,,,,,,
2034032041,1/1/2018,Single Family,23840 W HARTLAND ST,LOS ANGELES,CA,91307,12,"U.S. Bank, N.A., C/O Select Portfolio Servicing",,,,,,,
5216007039,1/2/2018,Single Family,2448 N KINGS PL,LOS ANGELES,CA,90032,14,Selene Finance LP,,,,,,,
4401030105,1/17/2018,Single Family,330 S BARRINGTON AVE,LOS ANGELES,CA,90049,11,"Ocwen Loan Servicing, LLC",,,,,,,
2638023012,10/24/2018,Single Family,14322 W CHASE ST,LOS ANGELES,CA,91402,6,Penny Mac Loan Service,,,,,,,
2727015032,10/31/2018,Single Family,22055 W BALLINGER ST,LOS ANGELES,CA,91311,12,US Bank NA as Trustee for LSF9 Master Participation Trust,,,,,,,
5565040021,10/4/2018,Single Family,8661 W ALLENWOOD RD,LOS ANGELES,CA,90046,4,bayview,,,,,,,
2356002019,1/1/2018,Multi-Family,5101 N LAUREL CANYON BLVD,NORTH HOLLYWOOD,CA,91607,2,Wells Fargo Bank NA c/o Select Portfolio Servicing,,,,,,,
2220006056,1/5/2018,Single Family,14942 W GAULT ST,VAN NUYS,CA,91405,6,Nationstar Mortgage LLC,,,,,,,
2733002058,1/5/2018,Single Family,10450 N ZELZAH AVE,,CA,,12,PNC MORTGAGE PRESALE,,,,,,,
5432023013,10/17/2018,Single Family,2242 N MICHELTORENA ST,LOS ANGELES,CA,90039,4,JP Morgan Chase NA,,,,,,,
5209018006,10/24/2018,Single Family,2822 N PARADISE DR,LOS ANGELES,CA,90032,14,"Panma Properties, LLC,",,,,,,,
6023005006,10/2/2018,Single Family,902 E 73RD ST,LOS ANGELES,CA,90001,9,PHH Mortgage Corporation c/o   Safeguard Properties,,,,,,,
2274022013,6/20/2018,Single Family,3310 N COY DR,LOS ANGELES,CA,91423,4,"Deutsche Bank, c/o Select Portfolio Servicing",,,,,,,
2310009002,1/12/2018,Single Family,11853 W STRATHERN ST,LOS ANGELES,CA,91605,6,Wells Fargo Bank N.A.,,,,,,,
2559013005,11/29/2018,Single Family,10327 N MT GLEASON AVE,LOS ANGELES,CA,91040,7,Mr. Cooper,,,,,,,
2220006056,12/18/2018,Single Family,14942 W GAULT ST,VAN NUYS,CA,91405,6,Mr. Cooper,,,,,,,
6065003019,10/6/2018,Single Family,10510 S MARY AVE,LOS ANGELES,CA,90002,15,Shellpoint Mortgage Servicing,,,,,,,
5047007013,2/8/2018,Single Family,5157 W RODEO ROAD,LOS ANGELES,CA,90016,10,"First American Trustee Servicing Solutions, First Entertainment",,,,,,,
5046018001,12/20/2018,Single Family,3500 S MUIRFIELD ROAD,LOS ANGELES,CA,90016,10,Fay Servicing,,,,,,,
5109008054,1/1/2018,Multi-Family,237 E 51ST ST,BAD APN,CA,99999,9,"Citibank, N.A., c/o Select Portfolio Servicing",,,,,,,
5103019003,12/7/2018,Single Family,994 E 55TH ST,LOS ANGELES,CA,90011,9,JP Morgan Chase NA,,,,,,,
5572017006,10/23/2018,Single Family,2041 N OUTPOST DR,LOS ANGELES,CA,90046,4,Aztec Financial,,,,,,,
2321011043,7/11/2018,Single Family,6938 N LAUREL CANYON BLVD,,CA,,2,East West Bank,,,,,,,
5109013033,10/16/2018,Multi-Family,4440 1/2 S CROCKER ST,LOS ANGELES,CA,90011,9,"Citibank N.A., c/o Select Portfolio Servicing",,,,,,,
5425020034,1/12/2018,Single Family,1425  SILVER LAKE,LOS ANGELES,CA,90026,13,"SETERUS, INC",,,,,,,
4211025066,1/1/2018,Single Family,6400 S CRESCENT PARK EAST,LOS ANGELES,CA,90094,11,U.S. Bank NA C/O Select Portfolio Servicing,,,,,,,
5558021017,1/9/2018,Single Family,1713 N QUEENS CT,LOS ANGELES,CA,90069,4,Nationstar Mortgage,,,,,,,
2649020012,1/1/2018,Single Family,15209 W DEVONSHIRE ST,LOS ANGELES,CA,91345,7,"HSBC Bank USA, N.A. C/O Select Portfolio Servicing",,,,,,,
2701007090,12/18/2018,Single Family,19524 W TURTLE RIDGE LANE,LOS ANGELES,CA,91326,12,Mr. Cooper,,,,,,,
2108033015,1/1/2018,Single Family,7618 N KELVIN AVE,LOS ANGELES,CA,91306,3,Deutsche Bank c/o Select Portfolio Servicing,,,,,,,
2245008113,11/2/2018,Single Family,5455 N TILDEN AVE,VAN NUYS,CA,91401,4,Wells Fargo Bank N.A.,,,,,,,
2536002024,10/29/2018,Single Family,11000 N HERRICK AVE,LOS ANGELES,CA,91331,7,RoundPoint,,,,,,,
4229004051,5/25/2018,Single Family,3220 S THATCHER AVE,LOS ANGELES,CA,90292,11,Shellpoint Mortgage,,,,,,,
2357017018,6/22/2018,Single Family,12800 W LA MAIDA ST,LOS ANGELES,CA,91607,4,RUSHMORE LOAN MANAGEMENT SERVICES,,,,,,,
2501003054,11/15/2018,Single Family,15520 N MONTE ST,LOS ANGELES,CA,91342,7,Wells Fargo Bank N.A.,,,,,,,
2035017018,1/1/2018,Single Family,6251 N CALLICOTT AVE,LOS ANGELES,CA,91367,3,Bank of New York Mellon c/o Select Portfolio Servicing,,,,,,,
2627026010,1/1/2018,Single Family,8701 N ROSLYNDALE AVE,LOS ANGELES,CA,91331,6,"US BANK NA, c/o Select Portfolio Servicing",,,,,,,
6033018036,11/8/2018,Single Family,1057 W 81ST PL,LOS ANGELES,CA,90044,8,Freedom Mortgage,,,,,,,
2222022009,1/8/2018,Single Family,15354 W LEADWELL ST,VAN NUYS,CA,91406,6,"Ocwen Loan Servicing, LLC",,,,,,,
2042003060,10/25/2018,Single Family,23046 W BURBANK BLVD,LOS ANGELES,CA,91367,3,Specialized Loan Servicing LLC on behalf of beneficiary,,,,,,,
2310009002,12/20/2018,Single Family,11853 W STRATHERN ST,LOS ANGELES,CA,91605,6,Fay Servicing,,,,,,,
6018023021,11/28/2018,Single Family,7623 S BRIGHTON AVE,LOS ANGELES,CA,90047,8,"U.S. Bank N.A., c/o Select Portfolio Servicing",,,,,,,
5571011004,12/20/2018,Single Family,2650 N LISCO PL,LOS ANGELES,CA,90046,4,East West Bank,,,,,,,
2166032030,9/5/2018,Single Family,20701 W DEFOREST ST,LOS ANGELES,CA,91364,3,US BANK NA co SELECT PORTFOLIO SERVICING,,,,,,,
5464026018,4/10/2018,Multi-Family,1750 N WOLLAM ST,LOS ANGELES,CA,90065,1,"Trustee Corps, Bayview Loan Servicing",,,,,,,
2116015053,11/13/2018,Single Family,7546 N SHIRLEY AVE,LOS ANGELES,CA,91335,3,"SETERUS, INC",,,,,,,
7422001011,1/9/2018,Single Family,129 E R ST,LOS ANGELES,CA,90744,15,Nationstar Mortgage,,,,,,,
4371019037,11/19/2018,Vacant Residential,993 N BEVERLY GLEN BLVD,LOS ANGELES,CA,90077,5,Mark Beychok,,,,,,,
2701009060,1/1/2018,Single Family,12052 N TURTLE SPRINGS LANE,LOS ANGELES,CA,91326,12,"U.S. Bank N.A., c/o Select Portfolio Servicing",,,,,,,
2604027029,10/1/2018,Multi-Family,15120 W NURMI ST,SYLMAR,CA,91342,7,"Nationstar Mortgage, dba Mr. Cooper",,,,,,,
4357002008,2/28/2018,Single Family,1831 N BENEDICT CANYON DR,LOS ANGELES,CA,90210,5,Shellpoint Mortgage Services,,,,,,,
2668011013,12/18/2018,Single Family,10551 N DEMPSEY AVE,LOS ANGELES,CA,91344,12,Mr. Cooper,,,,,,,
4229019130,1/4/2018,Single Family,13700 W MARINA POINTE DR,LOS ANGELES,CA,90292,11,Nationstar Mortgage LLC,,,,,,,
5454029009,1/12/2018,Multi-Family,3116 E CHAUCER ST,LOS ANGELES,CA,90065,1,Nationstar Mortgage,,,,,,,
7404022003,12/17/2018,Single Family,24610 S AVALON AVE,LOS ANGELES,CA,90744,15,Champion Mortgage,,,,,,,
5443030027,11/18/2018,Vacant Residential,1900 W MODJESKA ST,LOS ANGELES,CA,90039,13,HARLAN HELVEY,,,,,,,
2022017012,12/19/2018,Single Family,7522 N CAPISTRANO AVE,LOS ANGELES,CA,91307,12,Mr. Cooper,,,,,,,
